,Date,InterestRate,UnemploymentRate,TotalDebt,GDP
1,01/01/2005,3.25,5.3,60.91302,12767.286
2,02/01/2005,3.5,5.4,NA,NA
3,03/01/2005,3.75,5.2,NA,NA
4,04/01/2005,3.75,5.2,60.64153,12922.656
5,05/01/2005,4,5.1,NA,NA
6,06/01/2005,4.25,5,NA,NA
7,07/01/2005,4.25,5,60.35856,13142.642
8,08/01/2005,4.5,4.9,NA,NA
9,09/01/2005,4.75,5,NA,NA
10,10/01/2005,4.75,5,61.32008,13324.204
11,11/01/2005,5,5,NA,NA
12,12/01/2005,5.25,4.9,NA,NA
13,01/01/2006,5.5,4.7,61.55642,13599.16
14,02/01/2006,5.5,4.8,NA,NA
15,03/01/2006,5.75,4.7,NA,NA
16,04/01/2006,5.75,4.7,61.22142,13753.424
17,05/01/2006,6,4.6,NA,NA
18,06/01/2006,6.25,4.6,NA,NA
19,07/01/2006,6.25,4.7,61.3328,13870.188
20,08/01/2006,6.25,4.7,NA,NA
21,09/01/2006,6.25,4.5,NA,NA
22,10/01/2006,6.25,4.4,61.82689,14039.56
23,11/01/2006,6.25,4.5,NA,NA
24,12/01/2006,6.25,4.4,NA,NA
25,01/01/2007,6.25,4.6,62.25297,14215.651
26,02/01/2007,6.25,4.5,NA,NA
27,03/01/2007,6.25,4.4,NA,NA
28,04/01/2007,6.25,4.5,61.57219,14402.082
29,05/01/2007,6.25,4.4,NA,NA
30,06/01/2007,6.25,4.6,NA,NA
31,07/01/2007,6.25,4.7,61.84826,14564.117
32,08/01/2007,5.75,4.6,NA,NA
33,09/01/2007,5.25,4.7,NA,NA
34,10/01/2007,5,4.7,62.71924,14715.058
35,11/01/2007,5,4.7,NA,NA
36,12/01/2007,4.75,5,NA,NA
37,01/01/2008,3.5,5,64.17278,14706.538
38,02/01/2008,3.5,4.9,NA,NA
39,03/01/2008,2.5,5.1,NA,NA
40,04/01/2008,2.25,5,63.85172,14865.701
41,05/01/2008,2.25,5.4,NA,NA
42,06/01/2008,2.25,5.6,NA,NA
43,07/01/2008,2.25,5.8,67.28455,14898.999
44,08/01/2008,2.25,6.1,NA,NA
45,09/01/2008,2.25,6.1,NA,NA
46,10/01/2008,1.25,6.5,73.24516,14608.208
47,11/01/2008,1.25,6.8,NA,NA
48,12/01/2008,0.5,7.3,NA,NA
49,01/01/2009,0.5,7.8,77.10496,14430.901
50,02/01/2009,0.5,8.3,NA,NA
51,03/01/2009,0.5,8.7,NA,NA
52,04/01/2009,0.5,9,80.28013,14381.236
53,05/01/2009,0.5,9.4,NA,NA
54,06/01/2009,0.5,9.5,NA,NA
55,07/01/2009,0.5,9.5,82.42733,14448.882
56,08/01/2009,0.5,9.6,NA,NA
57,09/01/2009,0.5,9.8,NA,NA
58,10/01/2009,0.5,10,84.02935,14651.248
59,11/01/2009,0.5,9.9,NA,NA
60,12/01/2009,0.5,9.9,NA,NA
61,01/01/2010,0.5,9.8,86.51175,14764.611
62,02/01/2010,0.75,9.8,NA,NA
63,03/01/2010,0.75,9.9,NA,NA
64,04/01/2010,0.75,9.9,88.12832,14980.193
65,05/01/2010,0.75,9.6,NA,NA
66,06/01/2010,0.75,9.4,NA,NA
67,07/01/2010,0.75,9.4,89.56529,15141.605
68,08/01/2010,0.75,9.5,NA,NA
69,09/01/2010,0.75,9.5,NA,NA
70,10/01/2010,0.75,9.4,91.61136,15309.471
71,11/01/2010,0.75,9.8,NA,NA
72,12/01/2010,0.75,9.3,NA,NA
73,01/01/2011,0.75,9.1,92.95617,15351.444
74,02/01/2011,0.75,9,NA,NA
75,03/01/2011,0.75,9,NA,NA
76,04/01/2011,0.75,9.1,92.19383,15557.535
77,05/01/2011,0.75,9,NA,NA
78,06/01/2011,0.75,9.1,NA,NA
79,07/01/2011,0.75,9,94.52097,15647.681
80,08/01/2011,0.75,9,NA,NA
81,09/01/2011,0.75,9,NA,NA
82,10/01/2011,0.75,8.8,96.09067,15842.267
83,11/01/2011,0.75,8.6,NA,NA
84,12/01/2011,0.75,8.5,NA,NA
85,01/01/2012,0.75,8.3,97.12296,16068.824
86,02/01/2012,0.75,8.3,NA,NA
87,03/01/2012,0.75,8.2,NA,NA
88,04/01/2012,0.75,8.2,97.82754,16207.13
89,05/01/2012,0.75,8.2,NA,NA
90,06/01/2012,0.75,8.2,NA,NA
91,07/01/2012,0.75,8.2,98.44787,16319.54
92,08/01/2012,0.75,8.1,NA,NA
93,09/01/2012,0.75,7.8,NA,NA
94,10/01/2012,0.75,7.8,100.07517,16420.386
95,11/01/2012,0.75,7.7,NA,NA
96,12/01/2012,0.75,7.9,NA,NA
97,01/01/2013,0.75,8,100.85592,16629.05
98,02/01/2013,0.75,7.7,NA,NA
99,03/01/2013,0.75,7.5,NA,NA
100,04/01/2013,0.75,7.6,100.23216,16699.551
101,05/01/2013,0.75,7.5,NA,NA
102,06/01/2013,0.75,7.5,NA,NA
103,07/01/2013,0.75,7.3,98.97766,16911.068
104,08/01/2013,0.75,7.2,NA,NA
105,09/01/2013,0.75,7.2,NA,NA
106,10/01/2013,0.75,7.2,100.13427,17133.114
107,11/01/2013,0.75,6.9,NA,NA
108,12/01/2013,0.75,6.7,NA,NA
109,01/01/2014,0.75,6.6,102.6653,17144.281
110,02/01/2014,0.75,6.7,NA,NA
111,03/01/2014,0.75,6.7,NA,NA
112,04/01/2014,0.75,6.2,100.97295,17462.703
113,05/01/2014,0.75,6.3,NA,NA
114,06/01/2014,0.75,6.1,NA,NA
115,07/01/2014,0.75,6.2,100.45563,17743.227
116,08/01/2014,0.75,6.1,NA,NA
117,09/01/2014,0.75,5.9,NA,NA
118,10/01/2014,0.75,5.7,101.61828,17852.54
119,11/01/2014,0.75,5.8,NA,NA
120,12/01/2014,0.75,5.6,NA,NA
121,01/01/2015,0.75,5.7,100.89325,17991.348
122,02/01/2015,0.75,5.5,NA,NA
123,03/01/2015,0.75,5.4,NA,NA
124,04/01/2015,0.75,5.4,99.77075,18193.707
125,05/01/2015,0.75,5.6,NA,NA
126,06/01/2015,0.75,5.3,NA,NA
127,07/01/2015,0.75,5.2,99.146,18306.96
128,08/01/2015,0.75,5.1,NA,NA
129,09/01/2015,0.75,5,NA,NA
130,10/01/2015,0.75,5,103.21895,18332.079
131,11/01/2015,0.75,5.1,NA,NA
132,12/01/2015,1,5,NA,NA
133,01/01/2016,1,4.8,104.55696,18425.306
134,02/01/2016,1,4.9,NA,NA
135,03/01/2016,1,5,NA,NA
136,04/01/2016,1,5.1,104.13706,18611.617
137,05/01/2016,1,4.8,NA,NA
138,06/01/2016,1,4.9,NA,NA
139,07/01/2016,1,4.8,104.25015,18775.459
140,08/01/2016,1,4.9,NA,NA
141,09/01/2016,1,5,NA,NA
142,10/01/2016,1,4.9,105.31835,18968.041
143,11/01/2016,1,4.7,NA,NA
144,12/01/2016,1.25,4.7,NA,NA
145,01/01/2017,1.25,4.7,103.64643,19148.194
146,02/01/2017,1.25,4.6,NA,NA
147,03/01/2017,1.5,4.4,NA,NA
148,04/01/2017,1.5,4.4,102.79752,19304.506
149,05/01/2017,1.5,4.4,NA,NA
150,06/01/2017,1.75,4.3,NA,NA
151,07/01/2017,1.75,4.3,103.4915,19561.896
152,08/01/2017,1.75,4.4,NA,NA
153,09/01/2017,1.75,4.3,NA,NA
154,10/01/2017,1.75,4.2,103.0058,19894.75
155,11/01/2017,1.75,4.2,NA,NA
156,12/01/2017,2,4.1,NA,NA
157,01/01/2018,2,4,104.63475,20155.486
158,02/01/2018,2,4.1,NA,NA
159,03/01/2018,2.25,4,NA,NA
160,04/01/2018,2.25,4,103.54111,20470.197
161,05/01/2018,2.25,3.8,NA,NA
162,06/01/2018,2.5,4,NA,NA
163,07/01/2018,2.5,3.8,104.00623,20687.278
164,08/01/2018,2.5,3.8,NA,NA
165,09/01/2018,2.75,3.7,NA,NA
166,10/01/2018,2.75,3.8,105.54691,20819.269
167,11/01/2018,2.75,3.8,NA,NA
168,12/01/2018,3,3.9,NA,NA
169,01/01/2019,3,4,104.82935,21013.085
170,02/01/2019,3,3.8,NA,NA
171,03/01/2019,3,3.8,NA,NA
172,04/01/2019,3,3.6,103.52961,21272.448
173,05/01/2019,3,3.7,NA,NA
174,06/01/2019,3,3.6,NA,NA
175,07/01/2019,3,3.7,105.51538,21531.839
176,08/01/2019,2.75,3.7,NA,NA
177,09/01/2019,2.5,3.5,NA,NA
178,10/01/2019,2.25,3.6,106.88663,21706.532
179,11/01/2019,2.25,3.6,NA,NA
180,12/01/2019,2.25,3.6,NA,NA
181,01/01/2020,2.25,3.5,107.827,21538.032
182,02/01/2020,2.25,3.5,NA,NA
183,03/01/2020,0.25,4.4,NA,NA
184,04/01/2020,0.25,14.7,134.83528,19636.731
185,05/01/2020,0.25,13.2,NA,NA
186,06/01/2020,0.25,11,NA,NA
187,07/01/2020,0.25,10.2,126.1345,21362.428
188,08/01/2020,0.25,8.4,NA,NA
189,09/01/2020,0.25,7.9,NA,NA
190,10/01/2020,0.25,6.9,127.84231,21704.706
191,11/01/2020,0.25,6.7,NA,NA
192,12/01/2020,0.25,6.7,NA,NA
193,01/01/2021,0.25,6.3,126.07672,22313.85
194,02/01/2021,0.25,6.2,NA,NA
195,03/01/2021,0.25,6.1,NA,NA
196,04/01/2021,0.25,6.1,123.78842,23046.934
197,05/01/2021,0.25,5.8,NA,NA
198,06/01/2021,0.25,5.9,NA,NA
199,07/01/2021,0.25,5.4,120.71513,23550.42
200,08/01/2021,0.25,5.2,NA,NA
201,09/01/2021,NA,4.8,NA,NA
202,10/01/2021,NA,4.5,121.63566,24349.121
203,11/01/2021,NA,4.2,NA,NA
204,12/01/2021,NA,3.9,NA,NA
205,01/01/1966,NA,NA,40.33999,NA
206,04/01/1966,NA,NA,39.26763,NA
207,07/01/1966,NA,NA,39.62091,NA
208,10/01/1966,NA,NA,39.51977,NA
209,01/01/1967,NA,NA,39.20383,NA
210,04/01/1967,NA,NA,38.03292,NA
211,07/01/1967,NA,NA,38.82145,NA
212,10/01/1967,NA,NA,39.10231,NA
213,01/01/1968,NA,NA,38.42951,NA
214,04/01/1968,NA,NA,36.96379,NA
215,07/01/1968,NA,NA,37.30897,NA
216,10/01/1968,NA,NA,36.98532,NA
217,01/01/1969,NA,NA,36.19577,NA
218,04/01/1969,NA,NA,34.97403,NA
219,07/01/1969,NA,NA,35.01946,NA
220,10/01/1969,NA,NA,35.46954,NA
221,01/01/1970,NA,NA,35.38879,NA
222,04/01/1970,NA,NA,34.67329,NA
223,07/01/1970,NA,NA,34.86717,NA
224,10/01/1970,NA,NA,35.74822,NA
225,01/01/1971,NA,NA,34.50345,NA
226,04/01/1971,NA,NA,34.36089,NA
227,07/01/1971,NA,NA,35.00694,NA
228,10/01/1971,NA,NA,35.63237,NA
229,01/01/1972,NA,NA,34.72622,NA
230,04/01/1972,NA,NA,33.67383,NA
231,07/01/1972,NA,NA,33.62447,NA
232,10/01/1972,NA,NA,33.74758,NA
233,01/01/1973,NA,NA,33.29287,NA
234,04/01/1973,NA,NA,32.34466,NA
235,07/01/1973,NA,NA,32.12455,NA
236,10/01/1973,NA,NA,31.77379,NA
237,01/01/1974,NA,NA,31.76449,NA
238,04/01/1974,NA,NA,30.99462,NA
239,07/01/1974,NA,NA,30.86269,NA
240,10/01/1974,NA,NA,30.79768,NA
241,01/01/1975,NA,NA,31.53604,NA
242,04/01/1975,NA,NA,32.27817,NA
243,07/01/1975,NA,NA,32.38043,NA
244,10/01/1975,NA,NA,32.7301,NA
245,01/01/1976,NA,NA,32.98513,NA
246,04/01/1976,NA,NA,33.49464,NA
247,07/01/1976,NA,NA,33.64333,NA
248,10/01/1976,NA,NA,33.78753,NA
249,01/01/1977,NA,NA,33.65136,NA
250,04/01/1977,NA,NA,32.80422,NA
251,07/01/1977,NA,NA,32.98791,NA
252,10/01/1977,NA,NA,33.21873,NA
253,01/01/1978,NA,NA,33.5012,NA
254,04/01/1978,NA,NA,32.12444,NA
255,07/01/1978,NA,NA,32.21407,NA
256,10/01/1978,NA,NA,31.86206,NA
257,01/01/1979,NA,NA,31.53601,NA
258,04/01/1979,NA,NA,31.06277,NA
259,07/01/1979,NA,NA,30.98402,NA
260,10/01/1979,NA,NA,31.02615,NA
261,01/01/1980,NA,NA,30.94982,NA
262,04/01/1980,NA,NA,31.37303,NA
263,07/01/1980,NA,NA,31.77687,NA
264,10/01/1980,NA,NA,31.157,NA
265,01/01/1981,NA,NA,30.87284,NA
266,04/01/1981,NA,NA,30.70875,NA
267,07/01/1981,NA,NA,30.60333,NA
268,10/01/1981,NA,NA,31.35587,NA
269,01/01/1982,NA,NA,32.41298,NA
270,04/01/1982,NA,NA,32.40213,NA
271,07/01/1982,NA,NA,33.9253,NA
272,10/01/1982,NA,NA,35.18156,NA
273,01/01/1983,NA,NA,35.82911,NA
274,04/01/1983,NA,NA,36.87167,NA
275,07/01/1983,NA,NA,37.3311,NA
276,10/01/1983,NA,NA,37.17553,NA
277,01/01/1984,NA,NA,37.45447,NA
278,04/01/1984,NA,NA,37.72687,NA
279,07/01/1984,NA,NA,38.49586,NA
280,10/01/1984,NA,NA,40.08547,NA
281,01/01/1985,NA,NA,40.44121,NA
282,04/01/1985,NA,NA,41.31983,NA
283,07/01/1985,NA,NA,41.55909,NA
284,10/01/1985,NA,NA,43.78715,NA
285,01/01/1986,NA,NA,44.07415,NA
286,04/01/1986,NA,NA,45.30682,NA
287,07/01/1986,NA,NA,46.12536,NA
288,10/01/1986,NA,NA,47.55286,NA
289,01/01/1987,NA,NA,47.57835,NA
290,04/01/1987,NA,NA,48.04867,NA
291,07/01/1987,NA,NA,48.1165,NA
292,10/01/1987,NA,NA,48.55667,NA
293,01/01/1988,NA,NA,49.03151,NA
294,04/01/1988,NA,NA,49.08744,NA
295,07/01/1988,NA,NA,49.25732,NA
296,10/01/1988,NA,NA,49.71548,NA
297,01/01/1989,NA,NA,49.73276,NA
298,04/01/1989,NA,NA,49.8876,NA
299,07/01/1989,NA,NA,50.17117,NA
300,10/01/1989,NA,NA,51.38111,NA
301,01/01/1990,NA,NA,51.96856,NA
302,04/01/1990,NA,NA,52.7473,NA
303,07/01/1990,NA,NA,53.75313,NA
304,10/01/1990,NA,NA,56.03613,NA
305,01/01/1991,NA,NA,57.41652,NA
306,04/01/1991,NA,NA,57.74551,NA
307,07/01/1991,NA,NA,59.06123,NA
308,10/01/1991,NA,NA,60.68599,NA
309,01/01/1992,NA,NA,60.99679,NA
310,04/01/1992,NA,NA,61.57938,NA
311,07/01/1992,NA,NA,61.89802,NA
312,10/01/1992,NA,NA,62.52256,NA
313,01/01/1993,NA,NA,62.86657,NA
314,04/01/1993,NA,NA,63.91524,NA
315,07/01/1993,NA,NA,64.10093,NA
316,10/01/1993,NA,NA,64.66861,NA
317,01/01/1994,NA,NA,64.30709,NA
318,04/01/1994,NA,NA,64.10716,NA
319,07/01/1994,NA,NA,64.01176,NA
320,10/01/1994,NA,NA,64.38584,NA
321,01/01/1995,NA,NA,64.66271,NA
322,04/01/1995,NA,NA,65.31294,NA
323,07/01/1995,NA,NA,64.73906,NA
324,10/01/1995,NA,NA,64.18282,NA
325,01/01/1996,NA,NA,65.04171,NA
326,04/01/1996,NA,NA,64.2497,NA
327,07/01/1996,NA,NA,64.25469,NA
328,10/01/1996,NA,NA,64.44697,NA
329,01/01/1997,NA,NA,64.34428,NA
330,04/01/1997,NA,NA,63.10907,NA
331,07/01/1997,NA,NA,62.48709,NA
332,10/01/1997,NA,NA,62.77032,NA
333,01/01/1998,NA,NA,62.50988,NA
334,04/01/1998,NA,NA,61.85196,NA
335,07/01/1998,NA,NA,60.58693,NA
336,10/01/1998,NA,NA,60.40696,NA
337,01/01/1999,NA,NA,60.04894,NA
338,04/01/1999,NA,NA,59.19227,NA
339,07/01/1999,NA,NA,58.39258,NA
340,10/01/1999,NA,NA,58.34336,NA
341,01/01/2000,NA,NA,57.72134,NA
342,04/01/2000,NA,NA,55.48491,NA
343,07/01/2000,NA,NA,54.99213,NA
344,10/01/2000,NA,NA,54.2579,NA
345,01/01/2001,NA,NA,55.14434,NA
346,04/01/2001,NA,NA,54.03165,NA
347,07/01/2001,NA,NA,54.79763,NA
348,10/01/2001,NA,NA,55.75216,NA
349,01/01/2002,NA,NA,55.6965,NA
350,04/01/2002,NA,NA,56.27087,NA
351,07/01/2002,NA,NA,56.7026,NA
352,10/01/2002,NA,NA,57.91028,NA
353,01/01/2003,NA,NA,57.81906,NA
354,04/01/2003,NA,NA,58.96101,NA
355,07/01/2003,NA,NA,58.64541,NA
356,10/01/2003,NA,NA,59.44466,NA
357,01/01/2004,NA,NA,59.8071,NA
358,04/01/2004,NA,NA,60.05487,NA
359,07/01/2004,NA,NA,59.96643,NA
360,10/01/2004,NA,NA,60.63713,NA
361,01/01/2022,NA,NA,122.87943,NA
362,04/01/2022,NA,NA,121.071,NA
363,07/01/2022,NA,NA,120.23396,NA
364,10/01/2022,NA,NA,120.20697,NA