name,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,	ResearchAndDevelopment,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeExtraordinary,			NetIncomeFromTaxLossCarryforward,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems
ttm,"387,537,000,000","387,537,000,000","220,666,000,000","166,871,000,000","52,906,000,000","25,252,000,000","27,654,000,000",,,,"113,965,000,000","-197,000,000","3,043,000,000","3,240,000,000",,"-283,000,000",,,,,"-283,000,000","113,485,000,000","18,314,000,000","95,171,000,000","95,171,000,000","95,171,000,000","95,171,000,000",,,"95,171,000,000",,,,,"113,965,000,000","273,572,000,000","95,171,000,000","95,171,000,000","3,043,000,000","3,240,000,000","-197,000,000","116,725,000,000","128,048,000,000","220,666,000,000","11,323,000,000","95,171,000,000",,,"128,048,000,000",0.161,0
12/31/2022,"117,154,000,000","117,154,000,000","66,822,000,000","50,332,000,000","14,316,000,000","6,607,000,000","7,709,000,000",,,,"36,016,000,000","-135,000,000","868,000,000","1,003,000,000",,"-258,000,000",,,,,"-258,000,000","35,623,000,000","5,625,000,000","29,998,000,000","29,998,000,000","29,998,000,000","29,998,000,000",,,"29,998,000,000",1.89,1.88,"15,892,723,000","15,955,718,000","36,016,000,000","81,138,000,000","29,998,000,000","29,998,000,000","868,000,000","1,003,000,000","-135,000,000","36,626,000,000",,"66,822,000,000","2,916,000,000","29,998,000,000",,,"39,542,000,000",0.158,0
09/30/2022,"90,146,000,000","90,146,000,000","52,051,000,000","38,095,000,000","13,201,000,000","6,440,000,000","6,761,000,000",,,,"24,894,000,000","-74,000,000","753,000,000","827,000,000",,"-163,000,000",,,,,"-163,000,000","24,657,000,000","3,936,000,000","20,721,000,000","20,721,000,000","20,721,000,000","20,721,000,000",,,"20,721,000,000",1.29,1.29,"16,030,382,000","16,118,465,000","24,894,000,000","65,252,000,000","20,721,000,000","20,721,000,000","753,000,000","827,000,000","-74,000,000","25,484,000,000",,"52,051,000,000","2,865,000,000","20,721,000,000",,,"28,349,000,000",0.16,0
06/30/2022,"82,959,000,000","82,959,000,000","47,074,000,000","35,885,000,000","12,809,000,000","6,012,000,000","6,797,000,000",,,,"23,076,000,000","3,000,000","722,000,000","719,000,000",,"-13,000,000",,,,,"-13,000,000","23,066,000,000","3,624,000,000","19,442,000,000","19,442,000,000","19,442,000,000","19,442,000,000",,,"19,442,000,000",1.2,1.2,"16,162,945,000","16,262,203,000","23,076,000,000","59,883,000,000","19,442,000,000","19,442,000,000","722,000,000","719,000,000","3,000,000","23,785,000,000",,"47,074,000,000","2,805,000,000","19,442,000,000",,,"26,590,000,000",0.157,0
03/31/2022,"97,278,000,000","97,278,000,000","54,719,000,000","42,559,000,000","12,580,000,000","6,193,000,000","6,387,000,000",,,,"29,979,000,000","9,000,000","700,000,000","691,000,000",,"151,000,000",,,,,"151,000,000","30,139,000,000","5,129,000,000","25,010,000,000","25,010,000,000","25,010,000,000","25,010,000,000",,,"25,010,000,000",1.54,1.52,"16,278,802,000","16,403,316,000","29,979,000,000","67,299,000,000","25,010,000,000","25,010,000,000","700,000,000","691,000,000","9,000,000","30,830,000,000",,"54,719,000,000","2,737,000,000","25,010,000,000",,,"33,567,000,000",0.17,0
12/31/2021,"123,945,000,000","123,945,000,000","69,702,000,000","54,243,000,000","12,755,000,000","6,449,000,000","6,306,000,000",,,,"41,488,000,000","-44,000,000","650,000,000","694,000,000",,"-203,000,000",,,,,"-203,000,000","41,241,000,000","6,611,000,000","34,630,000,000","34,630,000,000","34,630,000,000","34,630,000,000",,,"34,630,000,000",2.11,2.1,"16,391,724,000","16,519,291,000","41,488,000,000","82,457,000,000","34,630,000,000","34,630,000,000","650,000,000","694,000,000","-44,000,000","41,935,000,000",,"69,702,000,000","2,697,000,000","34,630,000,000",,,"44,632,000,000",0.16,0
09/30/2021,"83,360,000,000","83,360,000,000","48,186,000,000","35,174,000,000","11,388,000,000","5,616,000,000","5,772,000,000",,,,"23,786,000,000","-13,000,000","659,000,000","672,000,000",,"-525,000,000",,,,,"-525,000,000","23,248,000,000","2,697,000,000","20,551,000,000","20,551,000,000","20,551,000,000","20,551,000,000",,,"20,551,000,000",1.25,1.24,"16,487,121,000","16,635,097,000","23,786,000,000","59,574,000,000","20,551,000,000","20,551,000,000","659,000,000","672,000,000","-13,000,000","23,920,000,000",,"48,186,000,000","2,989,000,000","20,551,000,000",,,"26,909,000,000",0.116,0
06/30/2021,"81,434,000,000","81,434,000,000","46,179,000,000","35,255,000,000","11,129,000,000","5,412,000,000","5,717,000,000",,,,"24,126,000,000","54,000,000","719,000,000","665,000,000",,"189,000,000",,,,,"189,000,000","24,369,000,000","2,625,000,000","21,744,000,000","21,744,000,000","21,744,000,000","21,744,000,000",,,"21,744,000,000",1.31,1.3,"16,629,371,000","16,781,735,000","24,126,000,000","57,308,000,000","21,744,000,000","21,744,000,000","719,000,000","665,000,000","54,000,000","25,034,000,000",,"46,179,000,000","2,832,000,000","21,744,000,000",,,"27,866,000,000",0.108,0
03/31/2021,"89,584,000,000","89,584,000,000","51,505,000,000","38,079,000,000","10,576,000,000","5,314,000,000","5,262,000,000",,,,"27,503,000,000","48,000,000","718,000,000","670,000,000",,"460,000,000",,,,,"460,000,000","28,011,000,000","4,381,000,000","23,630,000,000","23,630,000,000","23,630,000,000","23,630,000,000",,,"23,630,000,000",1.41,1.4,"16,753,476,000","16,929,157,000","27,503,000,000","62,081,000,000","23,630,000,000","23,630,000,000","718,000,000","670,000,000","48,000,000","28,681,000,000",,"51,505,000,000","2,797,000,000","23,630,000,000",,,"31,478,000,000",0.156,0
12/31/2020,"111,439,000,000","111,439,000,000","67,111,000,000","44,328,000,000","10,794,000,000","5,631,000,000","5,163,000,000",,,,"33,534,000,000","109,000,000","747,000,000","638,000,000",,"-64,000,000",,,,,"-64,000,000","33,579,000,000","4,824,000,000","28,755,000,000","28,755,000,000","28,755,000,000","28,755,000,000",,,"28,755,000,000",1.7,1.68,"16,935,119,000","17,113,688,000","33,534,000,000","77,905,000,000","28,755,000,000","28,755,000,000","747,000,000","638,000,000","109,000,000","34,217,000,000",,"67,111,000,000","2,666,000,000","28,755,000,000",,,"36,883,000,000",0.144,0
09/30/2020,"64,698,000,000","64,698,000,000","40,009,000,000","24,689,000,000","9,914,000,000","4,936,000,000","4,978,000,000",,,,"14,775,000,000","134,000,000","768,000,000","634,000,000",,"-8,000,000",,,,,"-8,000,000","14,901,000,000","2,228,000,000","12,673,000,000","12,673,000,000","12,673,000,000","12,673,000,000",,,"12,673,000,000",0.74,0.73,"17,057,622,000","17,256,521,000","14,775,000,000","49,923,000,000","12,673,000,000","12,673,000,000","768,000,000","634,000,000","134,000,000","15,535,000,000",,"40,009,000,000","2,702,000,000","12,673,000,000",,,"18,237,000,000",0.15,0
06/30/2020,"59,685,000,000","59,685,000,000","37,005,000,000","22,680,000,000","9,589,000,000","4,831,000,000","4,758,000,000",,,,"13,091,000,000","204,000,000","901,000,000","697,000,000",,"-158,000,000",,,,,"-158,000,000","13,137,000,000","1,884,000,000","11,253,000,000","11,253,000,000","11,253,000,000","11,253,000,000",,,"11,253,000,000",0.653,0.645,"17,250,292,000","17,419,152,000","13,091,000,000","46,594,000,000","11,253,000,000","11,253,000,000","901,000,000","697,000,000","204,000,000","13,834,000,000",,"37,005,000,000","2,752,000,000","11,253,000,000",,,"16,586,000,000",0.143,0
03/31/2020,"58,313,000,000","58,313,000,000","35,943,000,000","22,370,000,000","9,517,000,000","4,952,000,000","4,565,000,000",,,,"12,853,000,000","292,000,000","1,049,000,000","757,000,000",,"-10,000,000",,,,,"-10,000,000","13,135,000,000","1,886,000,000","11,249,000,000","11,249,000,000","11,249,000,000","11,249,000,000",,,"11,249,000,000",0.645,0.638,"17,440,404,000","17,618,764,000","12,853,000,000","45,460,000,000","11,249,000,000","11,249,000,000","1,049,000,000","757,000,000","292,000,000","13,892,000,000",,"35,943,000,000","2,786,000,000","11,249,000,000",,,"16,678,000,000",0.144,0
12/31/2019,"91,819,000,000","91,819,000,000","56,602,000,000","35,217,000,000","9,648,000,000","5,197,000,000","4,451,000,000",,,,"25,569,000,000","260,000,000","1,045,000,000","785,000,000",,"89,000,000",,,,,"89,000,000","25,918,000,000","3,682,000,000","22,236,000,000","22,236,000,000","22,236,000,000","22,236,000,000",,,"22,236,000,000",1.26,1.248,"17,660,160,000","17,818,416,000","25,569,000,000","66,250,000,000","22,236,000,000","22,236,000,000","1,045,000,000","785,000,000","260,000,000","26,703,000,000",,"56,602,000,000","2,816,000,000","22,236,000,000",,,"29,519,000,000",0.142,0
09/30/2019,"64,040,000,000","64,040,000,000","39,727,000,000","24,313,000,000","8,688,000,000","4,578,000,000","4,110,000,000",,,,"15,625,000,000","296,000,000","1,106,000,000","810,000,000",,"206,000,000",,,,,"206,000,000","16,127,000,000","2,441,000,000","13,686,000,000","13,686,000,000","13,686,000,000","13,686,000,000",,,"13,686,000,000",0.763,0.758,"17,963,248,000","18,081,492,000","15,625,000,000","48,415,000,000","13,686,000,000","13,686,000,000","1,106,000,000","810,000,000","296,000,000","16,937,000,000",,"39,727,000,000","3,179,000,000","13,686,000,000",,,"20,116,000,000",0.151,0
06/30/2019,"53,809,000,000","53,809,000,000","33,582,000,000","20,227,000,000","8,683,000,000","4,426,000,000","4,257,000,000",,,,"11,544,000,000","324,000,000","1,190,000,000","866,000,000",,"43,000,000",,,,,"43,000,000","11,911,000,000","1,867,000,000","10,044,000,000","10,044,000,000","10,044,000,000","10,044,000,000",,,"10,044,000,000",0.55,0.545,"18,282,532,000","18,405,520,000","11,544,000,000","42,265,000,000","10,044,000,000","10,044,000,000","1,190,000,000","866,000,000","324,000,000","12,777,000,000",,"33,582,000,000","2,933,000,000","10,044,000,000",,,"15,710,000,000",0.157,0
03/31/2019,"58,015,000,000","58,015,000,000","36,194,000,000","21,821,000,000","8,406,000,000","4,458,000,000","3,948,000,000",,,,"13,415,000,000","348,000,000","1,358,000,000","1,010,000,000",,"30,000,000",,,,,"30,000,000","13,793,000,000","2,232,000,000","11,561,000,000","11,561,000,000","11,561,000,000","11,561,000,000",,,"11,561,000,000",0.618,0.615,"18,696,284,000","18,802,584,000","13,415,000,000","44,600,000,000","11,561,000,000","11,561,000,000","1,358,000,000","1,010,000,000","348,000,000","14,803,000,000",,"36,194,000,000","3,040,000,000","11,561,000,000",,,"17,843,000,000",0.162,0
12/31/2018,"84,310,000,000","84,310,000,000","52,279,000,000","32,031,000,000","8,685,000,000","4,783,000,000","3,902,000,000",,,,"23,346,000,000","417,000,000","1,307,000,000","890,000,000",,"143,000,000",,,,,"143,000,000","23,906,000,000","3,941,000,000","19,965,000,000","19,965,000,000","19,965,000,000","19,965,000,000",,,"19,965,000,000",1.055,1.045,"18,943,280,000","19,093,008,000","23,346,000,000","60,964,000,000","19,965,000,000","19,965,000,000","1,307,000,000","890,000,000","417,000,000","24,796,000,000",,"52,279,000,000","3,395,000,000","19,965,000,000",,,"28,191,000,000",0.165,0
09/30/2018,"62,900,000,000","62,900,000,000","38,816,000,000","24,084,000,000","7,966,000,000","4,216,000,000","3,750,000,000",,,,"16,118,000,000","443,000,000","1,311,000,000","868,000,000",,"-140,000,000",,,,,"-140,000,000","16,421,000,000","2,296,000,000","14,125,000,000","14,125,000,000","14,125,000,000","14,125,000,000",,,"14,125,000,000",0.735,0.728,"19,206,356,000","19,390,188,000","16,118,000,000","46,782,000,000","14,125,000,000","14,125,000,000","1,311,000,000","868,000,000","443,000,000","17,289,000,000",,"38,816,000,000","2,754,000,000","14,125,000,000",,,"20,043,000,000",0.14,0
06/30/2018,"53,265,000,000","53,265,000,000","32,844,000,000","20,421,000,000","7,809,000,000","4,108,000,000","3,701,000,000",,,,"12,612,000,000","572,000,000","1,418,000,000","846,000,000",,"100,000,000",,,,,"100,000,000","13,284,000,000","1,765,000,000","11,519,000,000","11,519,000,000","11,519,000,000","11,519,000,000",,,"11,519,000,000",0.59,0.585,"19,528,668,000","19,706,436,000","12,612,000,000","40,653,000,000","11,519,000,000","11,519,000,000","1,418,000,000","846,000,000","572,000,000","14,130,000,000",,"32,844,000,000","2,665,000,000","11,519,000,000",,,"16,795,000,000",0.133,0
03/31/2018,"61,137,000,000","61,137,000,000","37,715,000,000","23,422,000,000","7,528,000,000","4,150,000,000","3,378,000,000",,,,"15,894,000,000","713,000,000","1,505,000,000","792,000,000",,"-439,000,000",,,,,"-439,000,000","16,168,000,000","2,346,000,000","13,822,000,000","13,822,000,000","13,822,000,000","13,822,000,000",,,"13,822,000,000",0.688,0.683,"20,099,508,000","20,273,972,000","15,894,000,000","45,243,000,000","13,822,000,000","13,822,000,000","1,505,000,000","792,000,000","713,000,000","16,960,000,000",,"37,715,000,000","2,739,000,000","13,822,000,000",,,"19,699,000,000",0.145,0
12/31/2017,"88,293,000,000","88,293,000,000","54,381,000,000","33,912,000,000","7,638,000,000","4,231,000,000","3,407,000,000",,,,"26,274,000,000","718,000,000","1,452,000,000","734,000,000",,"38,000,000",,,,,"38,000,000","27,030,000,000","6,965,000,000","20,065,000,000","20,065,000,000","20,065,000,000","20,065,000,000",,,"20,065,000,000",0.98,0.973,"20,451,508,000","20,631,148,000","26,274,000,000","62,019,000,000","20,065,000,000","20,065,000,000","1,452,000,000","734,000,000","718,000,000","27,764,000,000",,"54,381,000,000","2,745,000,000","20,065,000,000",,,"30,509,000,000",0.258,0
09/30/2017,"52,579,000,000","52,579,000,000","32,648,000,000","19,931,000,000","6,811,000,000","3,814,000,000","2,997,000,000",,,,"13,120,000,000","702,000,000","1,368,000,000","666,000,000",,"95,000,000",,,,,"95,000,000","13,917,000,000","3,203,000,000","10,714,000,000","10,714,000,000","10,714,000,000","10,714,000,000",,,"10,714,000,000",0.52,0.518,"20,597,712,000","20,734,340,000","13,120,000,000","39,459,000,000","10,714,000,000","10,714,000,000","1,368,000,000","666,000,000","702,000,000","14,583,000,000",,"32,648,000,000","2,484,000,000","10,714,000,000",,,"17,067,000,000",0.23,0
06/30/2017,"45,408,000,000","45,408,000,000","27,920,000,000","17,488,000,000","6,720,000,000","3,783,000,000","2,937,000,000",,,,"10,768,000,000","725,000,000","1,327,000,000","602,000,000",,"-185,000,000",,,,,"-185,000,000","11,308,000,000","2,591,000,000","8,717,000,000","8,717,000,000","8,717,000,000","8,717,000,000",,,"8,717,000,000",0.42,0.418,"20,780,352,000","20,933,996,000","10,768,000,000","34,640,000,000","8,717,000,000","8,717,000,000","1,327,000,000","602,000,000","725,000,000","11,910,000,000",,"27,920,000,000","2,354,000,000","8,717,000,000",,,"14,264,000,000",0.229,0
03/31/2017,"52,896,000,000","52,896,000,000","32,305,000,000","20,591,000,000","6,494,000,000","3,718,000,000","2,776,000,000",,,,"14,097,000,000","752,000,000","1,282,000,000","530,000,000",,"-165,000,000",,,,,"-165,000,000","14,684,000,000","3,655,000,000","11,029,000,000","11,029,000,000","11,029,000,000","11,029,000,000",,,"11,029,000,000",0.528,0.525,"20,903,164,000","21,046,752,000","14,097,000,000","38,799,000,000","11,029,000,000","11,029,000,000","1,282,000,000","530,000,000","752,000,000","15,214,000,000",,"32,305,000,000","2,332,000,000","11,029,000,000",,,"17,546,000,000",0.249,0
12/31/2016,"78,351,000,000","78,351,000,000","48,175,000,000","30,176,000,000","6,817,000,000","3,946,000,000","2,871,000,000",,,,"23,359,000,000","699,000,000","1,224,000,000","525,000,000",,"122,000,000",,,,,"122,000,000","24,180,000,000","6,289,000,000","17,891,000,000","17,891,000,000","17,891,000,000","17,891,000,000",,,"17,891,000,000",0.845,0.84,"21,194,644,000","21,311,980,000","23,359,000,000","54,992,000,000","17,891,000,000","17,891,000,000","1,224,000,000","525,000,000","699,000,000","24,705,000,000",,"48,175,000,000","2,987,000,000","17,891,000,000",,,"27,692,000,000",0.26,0
09/30/2016,"46,852,000,000","46,852,000,000","29,039,000,000","17,813,000,000","6,052,000,000","3,482,000,000","2,570,000,000",,,,"11,761,000,000","586,000,000","1,036,000,000","450,000,000",,"-159,000,000",,,,,"-159,000,000","12,188,000,000","3,174,000,000","9,014,000,000","9,014,000,000","9,014,000,000","9,014,000,000",,,"9,014,000,000",0.42,0.418,"21,467,648,000","21,573,332,000","11,761,000,000","35,091,000,000","9,014,000,000","9,014,000,000","1,036,000,000","450,000,000","586,000,000","12,638,000,000",,"29,039,000,000","2,548,000,000","9,014,000,000",,,"15,186,000,000",0.26,0
06/30/2016,"42,358,000,000","42,358,000,000","26,252,000,000","16,106,000,000","6,001,000,000","3,441,000,000","2,560,000,000",,,,"10,105,000,000","627,000,000","1,036,000,000","409,000,000",,"-263,000,000",,,,,"-263,000,000","10,469,000,000","2,673,000,000","7,796,000,000","7,796,000,000","7,796,000,000","7,796,000,000",,,"7,796,000,000",0.358,0.355,"21,772,232,000","21,891,124,000","10,105,000,000","32,253,000,000","7,796,000,000","7,796,000,000","1,036,000,000","409,000,000","627,000,000","10,878,000,000",,"26,252,000,000","2,526,000,000","7,796,000,000",,,"13,404,000,000",0.255,0
03/31/2016,"50,557,000,000","50,557,000,000","30,636,000,000","19,921,000,000","5,934,000,000","3,423,000,000","2,511,000,000",,,,"13,987,000,000","665,000,000","986,000,000","321,000,000",,"-510,000,000",,,,,"-510,000,000","14,142,000,000","3,626,000,000","10,516,000,000","10,516,000,000","10,516,000,000","10,516,000,000",,,"10,516,000,000",0.478,0.475,"22,057,524,000","22,163,544,000","13,987,000,000","36,570,000,000","10,516,000,000","10,516,000,000","986,000,000","321,000,000","665,000,000","14,463,000,000",,"30,636,000,000","2,477,000,000","10,516,000,000",,,"16,940,000,000",0.256,0
12/31/2015,"75,872,000,000","75,872,000,000","45,449,000,000","30,423,000,000","6,252,000,000","3,848,000,000","2,404,000,000",,,,"24,171,000,000","665,000,000","941,000,000","276,000,000",,"-263,000,000",,,,,"-263,000,000","24,573,000,000","6,212,000,000","18,361,000,000","18,361,000,000","18,361,000,000","18,361,000,000",,,"18,361,000,000",0.825,0.82,"22,235,720,000","22,376,508,000","24,171,000,000","51,701,000,000","18,361,000,000","18,361,000,000","941,000,000","276,000,000","665,000,000","24,849,000,000",,"45,449,000,000","2,954,000,000","18,361,000,000",,,"27,803,000,000",0.253,0
