name,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,	ResearchAndDevelopment,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeExtraordinary,			NetIncomeFromTaxLossCarryforward,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems
12/31/1997,"1,578,000,000","1,578,000,000","1,225,000,000","353,000,000","313,000,000","234,000,000","79,000,000",,,,"40,000,000","7,000,000",,,"-7,000,000",,,,,,,"47,000,000",0,"47,000,000","47,000,000","47,000,000","47,000,000",,,"47,000,000",0.003,0.003,"14,334,768,000","15,661,968,000","40,000,000","1,538,000,000","47,000,000","47,000,000",,,"7,000,000","40,000,000",,"1,225,000,000","28,000,000","47,000,000",,,"68,000,000",0,0
09/30/1997,"1,614,000,000","1,614,000,000","1,294,000,000","320,000,000","353,000,000","259,000,000","94,000,000",,,,"-33,000,000","-5,000,000",,,,"-123,000,000",,"-137,000,000","62,000,000","75,000,000",,"-161,000,000",0,"-161,000,000","-161,000,000","-161,000,000","-161,000,000",,,"-161,000,000",,,,,"-170,000,000","1,647,000,000","-161,000,000","-35,000,000",,,"-5,000,000","-229,000,000",,"1,294,000,000","41,000,000","-161,000,000","-126,000,000","-126,000,000","-62,000,000",0,0
06/30/1997,"1,737,000,000","1,737,000,000","1,389,000,000","348,000,000","408,000,000","307,000,000","101,000,000",,,,"-60,000,000","4,000,000",,,"-4,000,000",,,,,,,"-56,000,000",0,"-56,000,000","-56,000,000","-56,000,000","-56,000,000",,,"-56,000,000",-0.004,-0.004,"14,168,000,000","14,168,000,000","-60,000,000","1,797,000,000","-56,000,000","-56,000,000",,,"4,000,000","-60,000,000",,"1,389,000,000","22,000,000","-56,000,000",,,"-38,000,000",0,0
03/31/1997,"1,601,000,000","1,601,000,000","1,298,000,000","303,000,000","864,000,000","348,000,000","516,000,000",,,,"-561,000,000","8,000,000",,,"-8,000,000","-155,000,000",,"-155,000,000","155,000,000","367,000,000",,"-708,000,000",0,"-708,000,000","-708,000,000","-708,000,000","-708,000,000",,,"-708,000,000",-0.05,-0.05,"14,068,208,000","14,068,208,000","-716,000,000","2,162,000,000","-708,000,000","-553,000,000",,,"8,000,000","-561,000,000",,"1,298,000,000","30,000,000","-708,000,000","-155,000,000","-155,000,000","-376,000,000",0,0
12/31/1996,"2,129,000,000","2,129,000,000","1,732,000,000","397,000,000","521,000,000","372,000,000","149,000,000",,,,"-124,000,000","4,000,000",,,"-4,000,000",,,,,,,"-120,000,000",,"-120,000,000","-120,000,000","-120,000,000","-120,000,000",,,"-120,000,000",-0.009,-0.009,"13,947,584,000","13,947,584,000","-124,000,000","2,253,000,000","-120,000,000","-120,000,000",,,"4,000,000","-124,000,000",,"1,732,000,000","25,000,000","-120,000,000",,,"-99,000,000",0,0
09/30/1996,"2,321,000,000","2,321,000,000","1,810,000,000","511,000,000","505,000,000","359,000,000","146,000,000",,,,"6,000,000","4,000,000","22,000,000","18,000,000",,"30,000,000","75,000,000","28,000,000","-28,000,000",,"-73,000,000","40,000,000","15,000,000","25,000,000","25,000,000","25,000,000","25,000,000",,,"25,000,000",,,,,"34,000,000","2,315,000,000","25,000,000","-39,375,000","22,000,000","18,000,000","4,000,000","58,000,000",,"1,810,000,000","46,000,000","25,000,000","103,000,000","103,000,000","1,000,000",0.375,"38,625,000"
06/30/1996,"2,179,000,000","2,179,000,000","1,776,000,000","403,000,000","519,000,000","364,000,000","155,000,000",,,,"-116,000,000","-2,000,000","10,000,000","12,000,000",,"67,000,000","-2,000,000",,,,"69,000,000","-51,000,000","-19,000,000","-32,000,000","-32,000,000","-32,000,000","-32,000,000",,,"-32,000,000",-0.002,-0.002,"13,858,320,000","13,858,320,000","-116,000,000","2,295,000,000","-32,000,000","-30,745,098.039","10,000,000","12,000,000","-2,000,000","-39,000,000",,"1,776,000,000","22,000,000","-32,000,000","-2,000,000","-2,000,000","-15,000,000",0.373,"-745,098.039"
03/31/1996,"2,185,000,000","2,185,000,000","2,606,000,000","-421,000,000","554,000,000","404,000,000","150,000,000",,,,"-975,000,000","-2,000,000","11,000,000","13,000,000",,"-198,000,000","7,000,000","-207,000,000","207,000,000",,"2,000,000","-1,175,000,000","-435,000,000","-740,000,000","-740,000,000","-740,000,000","-740,000,000",,,"-740,000,000",-0.053,-0.053,"13,849,808,000","13,849,808,000","-1,182,000,000","3,160,000,000","-740,000,000","-614,042,553.191","11,000,000","13,000,000","-2,000,000","-1,162,000,000",,"2,606,000,000","46,000,000","-740,000,000","-200,000,000","-200,000,000","-916,000,000",0.37,"-74,042,553.191"
12/31/1995,"3,148,000,000","3,148,000,000","2,673,000,000","475,000,000","594,000,000","441,000,000","153,000,000",,,,"-119,000,000",0,"17,000,000","17,000,000",,"10,000,000","11,000,000",,,,"-1,000,000","-109,000,000","-40,000,000","-69,000,000","-69,000,000","-69,000,000","-69,000,000",,,"-69,000,000",-0.005,-0.005,"13,775,328,000","13,775,328,000","-119,000,000","3,267,000,000","-69,000,000","-75,963,302.752","17,000,000","17,000,000",0,"-92,000,000",,"2,673,000,000","42,000,000","-69,000,000","11,000,000","11,000,000","-61,000,000",0.367,"4,036,697.248"
09/30/1995,"3,003,000,000","3,003,000,000","2,382,000,000","621,000,000","549,000,000","378,000,000","171,000,000",,,,"72,000,000","9,000,000","24,000,000","15,000,000",,"14,000,000","13,000,000",0,0,,"1,000,000","95,000,000","35,000,000","60,000,000","60,000,000","60,000,000","60,000,000",,,"60,000,000",,,,,"72,000,000","2,931,000,000","60,000,000","51,789,473.684","24,000,000","15,000,000","9,000,000","110,000,000",,"2,382,000,000","23,000,000","60,000,000","13,000,000","13,000,000","120,000,000",0.368,"4,789,473.684"
06/30/1995,"2,575,000,000","2,575,000,000","1,847,000,000","728,000,000","572,000,000","404,000,000","168,000,000",,,,"156,000,000","16,000,000","32,000,000","16,000,000",,"-8,000,000","-13,000,000","6,000,000","-6,000,000",,"-1,000,000","164,000,000","61,000,000","103,000,000","103,000,000","103,000,000","103,000,000",,,"103,000,000",0.008,0.008,"13,798,736,000","13,798,736,000","162,000,000","2,419,000,000","103,000,000","107,396,341.463","32,000,000","16,000,000","16,000,000","180,000,000",,"1,847,000,000","37,000,000","103,000,000","-7,000,000","-7,000,000","224,000,000",0.372,"-2,603,658.537"
03/31/1995,"2,652,000,000","2,652,000,000","1,957,000,000","695,000,000","529,000,000","386,000,000","143,000,000",,,,"166,000,000","16,000,000","26,000,000","10,000,000",,"-66,000,000","-68,000,000",,,,"2,000,000","116,000,000","43,000,000","73,000,000","73,000,000","73,000,000","73,000,000",,,"73,000,000",0.005,0.005,"13,736,128,000","13,736,128,000","166,000,000","2,486,000,000","73,000,000","115,793,103.448","26,000,000","10,000,000","16,000,000","126,000,000",,"1,957,000,000","29,000,000","73,000,000","-68,000,000","-68,000,000","223,000,000",0.371,"-25,206,896.552"
12/31/1994,"2,832,000,000","2,832,000,000","2,018,000,000","814,000,000","547,000,000","415,000,000","132,000,000",,,,"267,000,000","15,000,000",,,"-15,000,000","17,000,000",,"17,000,000","-17,000,000",,,"299,000,000","111,000,000","188,000,000","188,000,000","188,000,000","188,000,000",,,"188,000,000",0.014,0.014,"13,619,221,056","13,625,472,000","284,000,000","2,565,000,000","188,000,000","177,311,036.789",,,"15,000,000","267,000,000",,"2,018,000,000","38,000,000","188,000,000","17,000,000","17,000,000","288,000,000",0.371,"6,311,036.789"
09/30/1994,"2,493,286,000","2,493,286,000","1,814,413,000","678,873,000","488,462,000","346,352,000","142,110,000",,,,"190,411,000","20,135,000",,,,"-25,619,000",,0,0,,,"184,927,000","70,272,000","114,655,000","114,655,000","114,655,000","114,655,000",,,"114,655,000",,,,,"190,411,000","2,302,875,000","114,655,000","135,923,528.23",,,"20,135,000","334,931,000",,"1,814,413,000","45,620,000","114,655,000","-34,304,000","-34,304,000","414,855,000",0.38,"-13,035,471.77"
06/30/1994,"2,149,908,000","2,149,908,000","1,576,036,000","573,872,000","468,306,000","332,867,000","135,439,000",,,"100,000","105,566,000","-9,678,000",,,"9,678,000","126,855,000",,"126,855,000","-126,855,000",,,"222,743,000","84,642,000","138,101,000","138,101,000","138,101,000","138,101,000",,,"138,101,000",0.01,0.01,"13,312,320,000","13,312,320,000","232,421,000","2,044,342,000","138,101,000","59,450,706.366",,,"-9,678,000","105,566,000",,"1,576,036,000","41,338,000","138,101,000","126,855,000","126,855,000","20,049,000",0.38,"48,204,706.366"
03/31/1994,"2,077,000,000","2,077,000,000","1,578,000,000","499,000,000","464,000,000","330,000,000","134,000,000","38,100,000","38,100,000",,"35,000,000",0,"8,000,000","8,000,000",,"-7,000,000","-6,000,000","-6,700,000",,,"-1,000,000","28,000,000","11,000,000","17,000,000","17,000,000","17,000,000","17,000,000",,,"17,000,000",0.001,0.001,"13,321,728,000","13,321,728,000","35,000,000","2,042,000,000","17,000,000","20,642,857.143","8,000,000","8,000,000",0,"36,000,000",,"1,578,000,000","38,394,000","17,000,000","-6,000,000","-6,000,000","80,394,000",0.393,"-2,357,142.857"
12/31/1993,"2,468,854,000","2,468,854,000","1,876,830,000","592,024,000","527,317,000","374,705,000","152,612,000",,,,"64,707,000","-163,000",,,"163,000",,,,,,,"64,544,000","24,526,000","40,018,000","40,018,000","40,018,000","40,018,000",,,"40,018,000",0.003,0.003,"13,099,072,000","13,099,072,000","64,707,000","2,404,147,000","40,018,000","40,018,000",,,"-163,000","64,707,000",,"1,876,830,000","42,606,000","40,018,000",,,"107,313,000",0.38,0
09/30/1993,"2,140,800,000","2,140,800,000","1,547,900,000","592,900,000","585,800,000","543,300,000",,"42,500,000","42,500,000",,"7,100,000",,,,,"-2,900,000",,"-2,900,000",,,,"4,400,000","1,700,000","2,700,000","2,700,000","2,700,000","2,700,000",,,"2,700,000",,,,,"7,100,000","2,133,700,000","2,700,000","4,479,545.455",,,,"7,100,000",,"1,547,900,000","42,500,000","2,700,000","-2,900,000","-2,900,000","52,500,000",0.386,"-1,120,454.545"
06/30/1993,"1,862,000,000","1,862,000,000","1,214,600,000","647,400,000","954,100,000","912,700,000",,"41,400,000","41,400,000",,"-306,700,000",,,,,"2,900,000",,"2,900,000",,,,"-303,700,000","-115,400,000","-188,300,000","-188,300,000","-188,300,000","-188,300,000",,,"-188,300,000",-0.015,-0.015,"12,859,512,195","12,859,512,195","-306,700,000","2,168,700,000","-188,300,000","-190,098,057.293",,,,"-306,700,000",,"1,214,600,000","41,400,000","-188,300,000","2,900,000","2,900,000","-268,200,000",0.38,"1,101,942.707"
03/31/1993,"1,973,900,000","1,973,900,000","1,172,000,000","801,900,000","632,800,000","591,700,000",,"41,100,000","41,100,000",,"169,100,000",,,,,"9,800,000",,"9,800,000",,,,"178,900,000","68,000,000","110,900,000","110,900,000","110,900,000","110,900,000",,,"110,900,000",0.008,0.008,"13,500,869,565","13,500,869,565","169,100,000","1,804,800,000","110,900,000","104,824,986.026",,,,"169,100,000",,"1,170,300,000","42,800,000","110,900,000","9,800,000","9,800,000","202,100,000",0.38,"3,724,986.026"
12/31/1992,"2,000,300,000","2,000,300,000","1,150,000,000","850,300,000","609,500,000","570,100,000",,"39,400,000","39,400,000",,"240,800,000",,,,,"19,400,000",,"19,400,000",,,,"260,200,000","98,900,000","161,300,000","161,300,000","161,300,000","161,300,000",,,"161,300,000",0.012,0.012,"13,481,791,045","13,481,791,045","240,800,000","1,759,500,000","161,300,000","149,273,789.393",,,,"240,800,000",,"1,150,000,000","39,400,000","161,300,000","19,400,000","19,400,000","260,800,000",0.38,"7,373,789.393"
09/30/1992,"1,767,700,000","1,767,700,000","952,700,000","815,000,000","683,400,000","623,400,000",,"60,000,000","60,000,000",,"131,600,000",,,,,"25,700,000",,"25,700,000",,,,"157,500,000","59,900,000","97,600,000","97,600,000","97,600,000","97,600,000",,,"97,600,000",,,,,"131,600,000","1,636,100,000","97,600,000","81,674,158.73",,,,"131,600,000",,"952,700,000","60,000,000","97,600,000","25,700,000","25,700,000","165,900,000",0.38,"9,774,158.73"
06/30/1992,"1,740,200,000","1,740,200,000","911,700,000","828,500,000","627,400,000","570,300,000",,"57,100,000","57,100,000",,"201,100,000",,,,,"11,300,000",,"11,300,000",,,,"212,400,000","80,700,000","131,700,000","131,700,000","131,700,000","131,700,000",,,"131,700,000",0.01,0.01,"13,657,777,778","13,657,777,778","201,100,000","1,539,100,000","131,700,000","124,693,361.582",,,,"201,100,000",,"911,600,000","57,200,000","131,700,000","11,300,000","11,300,000","247,000,000",0.38,"4,293,361.582"
03/31/1992,"1,716,000,000","1,716,000,000","910,200,000","805,800,000","595,400,000","545,100,000",,"50,300,000","50,300,000",,"210,400,000",,,,,"7,500,000",,"7,500,000",,,,"217,900,000","82,800,000","135,100,000","135,100,000","135,100,000","135,100,000",,,"135,100,000",0.01,0.01,"13,755,636,364","13,755,636,364","210,400,000","1,505,600,000","135,100,000","130,449,931.161",,,,"210,400,000",,"910,300,000","50,200,000","135,100,000","7,500,000","7,500,000","253,200,000",0.38,"2,849,931.161"
12/31/1991,"1,862,600,000","1,862,600,000","999,600,000","863,000,000","600,400,000","550,600,000",,"49,800,000","49,800,000",,"262,600,000",,,,,"5,100,000",,"5,100,000",,,,"267,800,000","101,800,000","166,000,000","166,000,000","166,000,000","166,000,000",,,"166,000,000",0.012,0.012,"13,670,588,235","13,670,588,235","262,600,000","1,600,000,000","166,000,000","162,838,685.586",,,,"262,600,000",,"999,600,000","49,800,000","166,000,000","5,100,000","5,100,000","307,300,000",0.38,"1,938,685.586"
09/30/1991,"1,507,000,000","1,507,000,000","794,300,000","712,700,000","591,400,000","533,500,000",,"57,900,000","57,900,000",,"121,300,000",,,,,"9,800,000",,"9,800,000",,,,"131,000,000","49,800,000","81,200,000","81,200,000","81,200,000","81,200,000",,,"81,200,000",,,,,"121,300,000","1,385,700,000","81,200,000","75,125,496.183",,,,"121,300,000",,"794,300,000","57,900,000","81,200,000","9,800,000","9,800,000","169,400,000",0.38,"3,725,496.183"
06/30/1991,"1,528,600,000","1,528,600,000","774,900,000","753,700,000","842,500,000","789,100,000",,"53,400,000","53,400,000",,"-88,800,000",,,,,"3,300,000",,"3,300,000",,,,"-85,600,000","-32,500,000","-53,100,000","-53,100,000","-53,100,000","-53,100,000",,,"-53,100,000",-0.004,-0.004,"13,516,363,636","13,516,363,636","-88,800,000","1,617,400,000","-53,100,000","-55,147,079.439",,,,"-88,800,000",,"774,800,000","53,500,000","-53,100,000","3,300,000","3,300,000","-38,600,000",0.38,"1,252,920.561"
03/31/1991,"1,597,700,000","1,597,700,000","772,700,000","825,000,000","638,400,000","592,500,000",,"45,900,000","45,900,000",,"186,600,000",,,,,"25,000,000",,"25,000,000",,,,"211,500,000","80,400,000","131,100,000","131,100,000","131,100,000","131,100,000",,,"131,100,000",0.01,0.01,"13,595,555,556","13,595,555,556","186,600,000","1,411,100,000","131,100,000","115,603,546.099",,,,"186,600,000",,"772,700,000","45,900,000","131,100,000","25,000,000","25,000,000","207,500,000",0.38,"9,503,546.099"
12/31/1990,"1,675,500,000","1,675,500,000","767,700,000","907,800,000","679,400,000","632,300,000",,"47,100,000","47,100,000",,"228,400,000",,,,,"14,400,000",,"14,400,000",,,,"242,700,000","92,200,000","150,500,000","150,500,000","150,500,000","150,500,000",,,"150,500,000",0.011,0.011,"13,168,750,000","13,168,750,000","228,400,000","1,447,100,000","150,500,000","141,570,457.355",,,,"228,400,000",,"767,700,000","47,100,000","150,500,000","14,400,000","14,400,000","261,100,000",0.38,"5,470,457.355"
09/30/1990,"1,354,100,000","1,354,100,000","591,400,000","762,700,000","622,100,000","561,300,000",,"60,800,000","60,800,000",,"140,600,000",,,,,"20,900,000",,"20,900,000",,,,"161,400,000","62,900,000","98,500,000","98,500,000","98,500,000","98,500,000",,,"98,500,000",,,,,"140,600,000","1,213,500,000","98,500,000","85,745,043.371",,,,"140,600,000",,"591,400,000","60,800,000","98,500,000","20,900,000","20,900,000","180,500,000",0.39,"8,145,043.371"
06/30/1990,"1,364,800,000","1,364,800,000","578,300,000","786,500,000","604,200,000","554,300,000",,"49,900,000","49,900,000",,"182,300,000",,,,,"14,100,000",,"14,100,000",,,,"196,400,000","76,600,000","119,800,000","119,800,000","119,800,000","119,800,000",,,"119,800,000",0.009,0.009,"13,976,666,667","13,976,666,667","182,300,000","1,182,500,000","119,800,000","111,199,287.169",,,,"182,300,000",,"578,300,000","49,900,000","119,800,000","14,100,000","14,100,000","218,100,000",0.39,"5,499,287.169"
03/31/1990,"1,346,200,000","1,346,200,000","565,300,000","780,900,000","581,700,000","537,400,000",,"44,300,000","44,300,000",,"199,200,000",,,,,"16,900,000",,"16,900,000",,,,"216,100,000","84,300,000","131,800,000","131,800,000","131,800,000","131,800,000",,,"131,800,000",0.009,0.009,"14,193,846,154","14,193,846,154","199,200,000","1,147,000,000","131,800,000","121,492,642.295",,,,"199,200,000",,"565,400,000","44,200,000","131,800,000","16,900,000","16,900,000","226,600,000",0.39,"6,592,642.295"
12/31/1989,"1,493,400,000","1,493,400,000","668,500,000","824,900,000","634,900,000","587,100,000",,"47,800,000","47,800,000",,"190,000,000",,,,,"14,600,000",,"14,600,000",,,,"204,600,000","79,800,000","124,800,000","124,800,000","124,800,000","124,800,000",,,"124,800,000",0.009,0.009,"14,560,000,000","14,560,000,000","190,000,000","1,303,400,000","124,800,000","115,894,428.152",,,,"190,000,000",,"668,500,000","47,800,000","124,800,000","14,600,000","14,600,000","223,200,000",0.39,"5,694,428.152"
09/30/1989,"1,383,700,000","1,383,700,000",,,,,,,,,"-3,266,000,000",,,,,,,,,,,,,,,"161,000,000","161,000,000",,,,,,,,,,,,,,,"-3,266,000,000",,,,,,,"-3,266,000,000",,
06/30/1989,"1,248,200,000","1,248,200,000",,,,,,,,,"1,248,200,000",,,,,,,,,,,,,,,"96,100,000","96,100,000",,,,0.007,0.007,"13,889,792,000","13,889,792,000",,,,,,,,"1,248,200,000",,,,,,,"1,248,200,000",,
03/31/1989,"1,246,900,000","1,246,900,000",,,,,,,,,"1,246,900,000",,,,,,,,,,,,,,,"56,400,000","56,400,000",,,,0.004,0.004,"14,307,664,000","14,307,664,000",,,,,,,,"1,246,900,000",,,,,,,"1,246,900,000",,
12/31/1988,"1,405,100,000","1,405,100,000",,,,,,,,,"1,405,100,000",,,,,,,,,,,,,,,"140,500,000","140,500,000",,,,0.01,0.01,"14,285,264,000","14,285,264,000",,,,,,,,"1,405,100,000",,,,,,,"1,405,100,000",,
09/30/1988,"1,168,700,000","1,168,700,000",,,,,,,,,"-2,282,400,000",,,,,,,,,,,,,,,"108,000,000","108,000,000",,,,,,,,,,,,,,,"-2,282,400,000",,,,,,,"-2,282,400,000",,
06/30/1988,"993,100,000","993,100,000",,,,,,,,,"993,100,000",,,,,,,,,,,,,,,"91,300,000","91,300,000",,,,0.006,0.006,"14,622,720,000","14,622,720,000",,,,,,,,"993,100,000",,,,,,,"993,100,000",,
03/31/1988,"867,200,000","867,200,000",,,,,,,,,"867,200,000",,,,,,,,,,,,,,,"79,700,000","79,700,000",,,,0.006,0.006,"13,946,352,000","13,946,352,000",,,,,,,,"867,200,000",,,,,,,"867,200,000",,
12/31/1987,"1,042,400,000","1,042,400,000",,,,,,,,,"1,042,400,000",,,,,,,,,,,,,,,"121,400,000","121,400,000",,,,0.008,0.008,"14,063,280,000","14,063,280,000",,,,,,,,"1,042,400,000",,,,,,,"1,042,400,000",,
09/30/1987,"786,500,000","786,500,000",,,,,,,,,"-1,503,100,000",,,,,,,,,,,,,,,"71,700,000","71,700,000",,,,,,,,,,,,,,,"-1,503,100,000",,,,,,,"-1,503,100,000",,
06/30/1987,"637,100,000","637,100,000",,,,,,,,,"637,100,000",,,,,,,,,,,,,,,"53,500,000","53,500,000",,,,0.004,0.004,"14,028,672,000","14,028,672,000",,,,,,,,"637,100,000",,,,,,,"637,100,000",,
03/31/1987,"575,300,000","575,300,000",,,,,,,,,"575,300,000",,,,,,,,,,,,,,,"33,900,000","33,900,000",,,,0.002,0.002,"14,028,672,000","14,028,672,000",,,,,,,,"575,300,000",,,,,,,"575,300,000",,
12/31/1986,"662,300,000","662,300,000",,,,,,,,,"662,300,000",,,,,,,,,,,,,,,"58,500,000","58,500,000",,,,0.004,0.004,"14,260,064,000","14,260,064,000",,,,,,,,"662,300,000",,,,,,,"662,300,000",,
09/30/1986,"510,800,000","510,800,000",,,,,,,,,"-1,117,600,000",,,,,,,,,,,,,,,"32,900,000","32,900,000",,,,,,,,,,,,,,,"-1,117,600,000",,,,,,,"-1,117,600,000",,
06/30/1986,"448,300,000","448,300,000",,,,,,,,,"448,300,000",,,,,,,,,,,,,,,"32,300,000","32,300,000",,,,0.002,0.002,"14,260,064,000","14,260,064,000",,,,,,,,"448,300,000",,,,,,,"448,300,000",,
03/31/1986,"408,900,000","408,900,000",,,,,,,,,"408,900,000",,,,,,,,,,,,,,,"31,800,000","31,800,000",,,,0.002,0.002,"14,033,600,000","14,033,600,000",,,,,,,,"408,900,000",,,,,,,"408,900,000",,
12/31/1985,"533,900,000","533,900,000",,,,,,,,,"533,900,000",,,,,,,,,,,,,,,"56,900,000","56,900,000",,,,0.004,0.004,"13,837,824,000","13,837,824,000",,,,,,,,"533,900,000",,,,,,,"533,900,000",,
09/30/1985,"409,700,000","409,700,000",,,,,,,,,"-1,361,300,000",,,,,,,,,,,,,,,"22,300,000","22,300,000",,,,,,,,,,,,,,,"-1,361,300,000",,,,,,,"-1,361,300,000",,