name,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,"1,058,439,460,300","1,128,531,460,300",,61.35,3.829,2.022,7.157,2.196,29.426
12/31/2022,"856,938,950,784","926,527,950,784",76.329,41.322,4.67,1.709,6.257,6.21,71.952
09/30/2022,"1,152,374,000,000","1,216,241,000,000",101.756,46.948,4.5,2.383,8.77,9.569,88.358
06/30/2022,"1,081,536,430,000","1,128,438,430,000",51.235,64.103,4.006,2.285,8.071,9.308,149.959
03/31/2022,"1,659,314,550,000","1,679,660,550,000",50.3,57.143,2.963,3.573,12.003,14.425,401.353
12/31/2021,"1,697,179,060,000","1,732,094,060,000",65.213,52.083,1.985,3.74,14.077,12.605,68.685
09/30/2021,"1,665,515,280,000","1,682,197,280,000",57.201,45.455,1.417,3.802,14.508,15.181,122.288
06/30/2021,"1,740,720,960,000","1,752,385,960,000",65.39,57.471,1.387,4.2,16.848,15.497,102.437
03/31/2021,"1,559,416,320,000","1,559,409,320,000",73.968,60.241,1.468,4.087,16.682,14.37,85.8
12/31/2020,"1,638,235,790,000","1,651,351,790,000",95.232,61.35,1.259,4.76,19.791,13.152,104.536
09/30/2020,"1,580,662,460,000","1,585,197,460,000",121.012,60.241,1.236,4.956,21.439,16.488,115.203
06/30/2020,"1,382,168,820,000","1,396,613,820,000",131.812,128.205,2.972,4.702,21.176,15.708,112.885
03/31/2020,"972,910,280,000","981,094,280,000",84.734,66.225,1.501,3.503,15.677,13.003,107.259
12/31/2019,"920,224,320,000","936,353,320,000",81.872,58.14,1.321,3.496,16.285,10.709,87.69
09/30/2019,"859,275,450,000","876,275,450,000",72,44.843,1.015,3.457,16.194,12.522,101.999
06/30/2019,"932,294,220,986","951,871,220,986",79.033,58.824,1.319,3.928,19.324,15.013,112.328
03/31/2019,"876,224,084,927","874,761,084,927",88.419,61.728,2.197,3.823,20.118,14.653,90.922
12/31/2018,"737,467,270,000","732,386,270,000",84.097,55.866,0.944,3.392,18.849,10.118,91.56
09/30/2018,"976,945,601,567","974,533,601,567",158.716,72.993,1.226,4.783,27.989,17.225,129.489
06/30/2018,"824,788,691,419","824,465,691,419",214.081,135.135,3,4.355,26.31,15.589,125.337
03/31/2018,"701,392,474,695","708,332,474,695",235.34,144.928,5.813,4.012,25.333,13.877,119.711
12/31/2017,"563,535,052,497","563,935,052,497",297.575,129.87,14.39,3.561,22.955,9.328,98.815
09/30/2017,"461,812,848,667","448,044,848,667",244.618,86.207,3.051,3.128,19.961,10.242,129.643
06/30/2017,"464,640,000,000","450,800,000,000",182.298,128.205,3.229,3.301,21.438,11.877,130.97
03/31/2017,"423,766,120,000","412,998,120,000",180.927,96.154,1.884,3.155,21.974,11.564,117.096
12/31/2016,"356,313,123,601","346,171,123,601",171.595,69.93,0.947,2.825,20.115,7.914,96.266
09/30/2016,"397,722,250,000","389,394,250,000",208.286,76.336,0.948,3.335,24.049,11.903,144.595
06/30/2016,"339,203,880,000","331,563,880,000",293.287,90.909,1.221,3.035,22.988,10.905,103.484
03/31/2016,"280,198,080,000","274,573,080,000",474.912,57.471,0.781,2.646,20.935,9.426,91.524
12/31/2015,"318,344,190,000","312,159,190,000",951.958,90.909,1.003,3.18,25.611,8.732,111.287
09/30/2015,"240,076,410,000","234,325,410,000",,89.286,0.908,2.508,20.401,9.241,119.432
06/30/2015,"203,154,120,000","197,630,120,000",,90.09,1.16,2.187,18.684,8.524,99.813
03/31/2015,"173,398,600,000","168,471,600,000",,90.909,1.37,1.932,16.144,7.416,107.856
12/31/2014,"144,312,750,000","140,528,750,000",,102.041,1.65,1.685,13.962,4.791,74.63
09/30/2014,"149,289,720,000","144,422,720,000",826.769,82.645,1.643,1.828,14.081,7.018,218.161
06/30/2014,"150,048,360,000","144,529,360,000",507.469,67.568,1.253,1.938,14.528,7.473,128.243
03/31/2014,"154,727,900,000","147,461,900,000",570.11,58.48,0.911,2.101,15.876,7.47,125.821
12/31/2013,"183,044,610,000","178,398,610,000","1,424.25",103.093,1.953,2.627,20.144,6.972,122.779
09/30/2013,"143,189,120,000","138,768,120,000",,74.627,1.758,2.128,16.396,8.119,167.797
06/30/2013,"126,416,343,696","121,561,343,696",,67.568,1.13,1.969,15.05,7.741,150.821
03/31/2013,"121,244,207,262","113,626,207,262",,60.976,0.986,1.976,14.801,7.071,139.59
12/31/2012,"113,894,980,000","106,276,980,000",,88.496,3.036,1.86,13.903,4.997,103.584
09/30/2012,"114,969,235,905","106,808,235,905",310.146,100,3.131,2.156,15.351,7.736,192.795
06/30/2012,"102,877,498,153","94,716,498,153",188.719,72.993,2.073,2.049,14.195,7.38,145.271
03/31/2012,"91,451,942,294","83,290,942,294",147.818,78.125,2.497,1.942,11.748,6.317,148.205
12/31/2011,"78,717,977,119","70,596,977,119",91.105,86.207,3.501,1.826,10.142,4.05,108.278
09/30/2011,"98,384,650,000","90,263,650,000",113.805,67.114,2.499,2.28,12.669,8.299,212.385
06/30/2011,"92,838,460,000","84,717,460,000",90.084,54.348,2.037,2.328,11.956,8.546,175.036
03/31/2011,"81,418,760,000","73,297,760,000",77.978,40.984,1.651,2.23,11.082,7.436,140.687
12/31/2010,"81,180,000,000","73,059,000,000",71.146,52.356,2.066,2.4,11.827,5.643,106.345
09/30/2010,"70,519,940,000","64,798,940,000",63.331,,,2.317,11.024,8.571,143.044
06/30/2010,"48,948,480,000","43,972,480,000",45.149,,,1.717,8.357,6.697,101.086
03/31/2010,"60,553,420,000","55,621,420,000",59.288,,,2.265,10.778,7.8,105.543
12/31/2009,"59,726,880,000","53,469,880,000",65.941,,,2.426,11.361,5.617,90.474
09/30/2009,"40,424,880,000","36,539,880,000",54.918,,,1.885,11.276,6.706,100.109
06/30/2009,"36,141,120,000","33,038,120,000",55.039,,,1.783,11.1,7.103,122.363
03/31/2009,"31,475,145,434","28,819,145,434",47.077,,,1.603,10.787,5.895,83.052
12/31/2008,"21,990,525,318","18,855,525,318",34.416,,,1.156,8.23,2.813,48.224
09/30/2008,"31,359,560,000","29,470,560,000",50.179,,,1.725,12.41,6.911,107.166
06/30/2008,"31,238,580,000","29,732,580,000",53.526,,,1.83,14.008,7.318,99.44
03/31/2008,"29,732,100,000","28,954,100,000",59.417,,,1.901,20.226,7.002,98.483
12/31/2007,"38,538,240,000","36,770,240,000",82.714,,,2.648,32.196,6.483,101.017
09/30/2007,"38,673,773,040","38,264,773,040",127.603,,,3.22,70.316,11.73,187.572
06/30/2007,"28,280,616,765","28,111,616,765",115.949,,,2.525,80.115,9.741,147.956
03/31/2007,"16,301,894,481","15,549,894,481",88.422,,,1.575,37.823,5.158,69.111
12/31/2006,"16,336,440,000","16,421,440,000",58.029,,,1.73,83.349,4.12,61.504
09/30/2006,"13,201,320,000","13,106,320,000",45.886,,,1.481,34.468,5.681,107.429
06/30/2006,"16,273,960,000","16,178,960,000",55.486,,,1.79,42.491,7.564,139.474
03/31/2006,"15,233,010,000","15,158,010,000",46.833,,,1.757,47.015,6.651,96.548
12/31/2005,"19,614,400,000","19,725,400,000",39.292,,,2.495,"3,269.067",6.626,90.07
09/30/2005,"18,754,200,000","18,865,200,000",37.75,,,2.397,"3,125.7",10.153,183.157
06/30/2005,"13,633,080,000","13,837,080,000",26.262,,,1.835,,7.893,88.699
03/31/2005,"14,084,970,000","14,496,970,000",26.16,,,1.994,,7.622,89.487
12/31/2004,"18,146,100,190","18,224,601,190",31.863,,,2.718,,7.172,112.448
09/30/2004,"16,648,979,040","17,246,453,040",54.48,,,2.856,,11.793,173.267
06/30/2004,"22,125,078,400","22,738,743,400",82.424,,,3.955,,16.39,188.447
03/31/2004,"17,523,812,320","18,305,844,320",116.973,,,3.246,,11.962,116.934
12/31/2003,"21,224,487,480","21,779,319,480",657.75,,,4.192,,11.193,179.904
09/30/2003,"19,392,437,460","20,414,804,460",,,,3.99,,17.995,316.563
06/30/2003,"14,409,233,600","15,502,910,600",,,,3.145,,14.095,"1,413.339"
03/31/2003,"10,193,582,270","11,418,526,270",,,,2.387,,10.538,240.451
12/31/2002,"7,327,544,340","8,317,199,340",,,,1.817,,5.822,138.079
09/30/2002,"6,088,019,520","7,500,197,520",,,,1.656,,8.81,324.515
06/30/2002,"6,179,940,000","7,600,913,000",,,,1.83,,9.435,-221.021
03/31/2002,"5,364,058,700","6,538,598,700",,,,1.668,,7.716,181.85
12/31/2001,"4,038,218,760","5,212,758,760",,,,1.262,,4.674,51.706
09/30/2001,"2,219,443,020","3,755,538,020",,,,0.715,,5.875,-55.054
06/30/2001,"5,125,002,650","6,620,190,650",,,,1.735,,9.916,-129.119
03/31/2001,"3,671,004,810","4,714,523,810",,,,1.3,,6.732,-45.87
12/31/2000,"5,557,991,250","6,757,877,250",,,,2.186,,6.95,-18.287
09/30/2000,"13,687,848,676","14,929,489,676",,,,6.003,,23.406,-410.794
06/30/2000,"12,905,640,200","14,147,281,200",,,,5.671,,24.482,-195.837
03/31/2000,"23,447,253,000","24,591,316,000",,,,11.664,915.301,42.85,-269.037
12/31/1999,"26,274,924,375","27,049,396,375",,,,15.169,98.675,40.011,-176.74
09/30/1999,"27,117,767,430","27,687,061,430",,,,60.071,64.578,77.821,"-3,936.176"
06/30/1999,"21,040,312,278","21,355,172,278",,,,55.132,36.845,67.929,-361.022
03/31/1999,"27,786,149,748","27,884,232,748",,,,95.19,358.36,94.96,"-1,104.02"
12/31/1998,"17,054,947,428","17,030,326,428",,,,78.034,122.923,67.342,-315.721
09/30/1998,"5,891,365,925","5,895,284,925",,,,3.584,32.773,38.356,"13,459.555"
06/30/1998,"4,959,536,783","4,952,707,783",,,,8.865,125.784,42.704,-517.578
03/31/1998,"2,068,873,516","2,029,439,516",,,,9.439,104.346,23.227,-294.164
12/31/1997,"1,443,698,172","1,412,098,172",,,,8.881,50.656,21.363,-176.512
09/30/1997,"1,243,531,366","1,199,031,366",,,,12.432,33.25,31.637,-153.722
06/30/1997,"441,927,948","394,427,948",,,,7.085,9.691,14.137,-64.66