name,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			SalariesAndWages,			OtherGandA,		SellingAndMarketingExpense,	ResearchAndDevelopment,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	EarningsFromEquityInterest,	SpecialIncomeCharges,		OtherSpecialCharges,		GainOnSaleOfBusiness,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeDiscontinuousOperations,	OtherunderPreferredStockDividend,AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems
09/30/2014,"16,523,000,000","14,682,000,000","6,695,000,000","9,828,000,000","6,104,000,000","3,449,000,000","1,365,000,000",,"1,365,000,000","2,084,000,000","2,655,000,000",,"3,724,000,000","162,000,000","187,000,000","25,000,000","-133,000,000","-29,000,000","-48,000,000",,,,,"19,000,000","3,857,000,000","859,000,000","2,813,000,000","2,813,000,000","2,813,000,000","2,998,000,000","-185,000,000",,,"2,813,000,000",0.208,0.205,"13,541,934,583","13,764,294,494","3,724,000,000","12,799,000,000","2,813,000,000","3,035,296,000","187,000,000","25,000,000","162,000,000","3,882,000,000",,"6,695,000,000","1,547,000,000","2,998,000,000","-48,000,000","-48,000,000","5,477,000,000",0.223,"-10,704,000"
06/30/2014,"15,955,000,000","14,359,000,000","6,114,000,000","9,841,000,000","5,583,000,000","3,345,000,000","1,404,000,000",,"1,404,000,000","1,941,000,000","2,238,000,000",,"4,258,000,000","142,000,000","169,000,000","27,000,000","-145,000,000","3,000,000","-1,000,000",,,,,"4,000,000","4,403,000,000","913,000,000","3,422,000,000","3,422,000,000","3,422,000,000","3,490,000,000","-68,000,000",,,"3,422,000,000",0.254,0.25,"13,502,294,599","13,727,254,509","4,258,000,000","11,697,000,000","3,422,000,000","3,490,793,000","169,000,000","27,000,000","142,000,000","4,430,000,000",,"6,114,000,000","1,079,000,000","3,490,000,000","-1,000,000","-1,000,000","5,510,000,000",0.207,"-207,000"
03/31/2014,"15,420,000,000","13,866,000,000","5,961,000,000","9,459,000,000","5,344,000,000","3,218,000,000","1,489,000,000",,"1,489,000,000","1,729,000,000","2,126,000,000",,"4,115,000,000","144,000,000","168,000,000","24,000,000","-357,000,000","213,000,000","185,000,000",,,,,"28,000,000","4,472,000,000","822,000,000","3,452,000,000","3,452,000,000","3,452,000,000","3,650,000,000","-198,000,000",,,"3,452,000,000",0.513,0.504,"6,725,867,309","6,852,117,259","4,115,000,000","11,305,000,000","3,452,000,000","3,499,040,000","168,000,000","24,000,000","144,000,000","4,496,000,000",,"5,961,000,000","1,086,000,000","3,650,000,000","185,000,000","185,000,000","5,397,000,000",0.184,"34,040,000"
12/31/2013,"16,858,000,000","15,148,000,000","7,438,000,000","9,420,000,000","5,498,000,000","3,387,000,000","1,261,000,000",,"1,261,000,000","2,126,000,000","2,111,000,000",,"3,922,000,000","194,000,000","215,000,000","21,000,000","-125,000,000","-69,000,000","-85,000,000",,0,,0,"16,000,000","4,047,000,000","666,000,000","3,376,000,000","3,376,000,000","3,376,000,000","3,381,000,000","-5,000,000",,,"3,376,000,000",0.504,0.495,"6,696,717,321","6,820,057,271","3,922,000,000","12,936,000,000","3,376,000,000","3,452,011,860.638","215,000,000","21,000,000","194,000,000","4,068,000,000",,"7,438,000,000","1,036,000,000","3,381,000,000","-85,000,000","-85,000,000","5,189,000,000",0.165,"-13,988,139.362"
09/30/2013,"14,893,000,000","13,726,000,000","6,413,000,000","8,480,000,000","5,036,000,000","3,019,000,000","1,213,000,000",,"1,213,000,000","1,806,000,000","2,017,000,000",,"3,444,000,000","179,000,000","201,000,000","22,000,000","-24,000,000","-155,000,000","-179,000,000",,0,,0,"24,000,000","3,468,000,000","513,000,000","2,970,000,000","2,970,000,000","2,970,000,000","2,955,000,000","15,000,000",,,"2,970,000,000",0.445,0.438,"6,672,317,331","6,784,697,286","3,444,000,000","11,449,000,000","2,970,000,000","3,107,508,000","201,000,000","22,000,000","179,000,000","3,490,000,000",,"6,413,000,000","974,000,000","2,955,000,000","-179,000,000","-179,000,000","4,643,000,000",0.148,"-26,492,000"
06/30/2013,"14,105,000,000","13,059,000,000","6,063,000,000","8,042,000,000","4,919,000,000","2,932,000,000","1,197,000,000",,"1,197,000,000","1,735,000,000","1,987,000,000",,"3,123,000,000","167,000,000","186,000,000","19,000,000","-247,000,000","80,000,000","96,000,000",,"-31,000,000",,"-31,000,000","15,000,000","3,370,000,000","816,000,000","3,228,000,000","3,228,000,000","3,228,000,000","2,554,000,000","674,000,000",,,"3,228,000,000",0.486,0.477,"6,649,597,340","6,766,737,293","3,123,000,000","10,982,000,000","3,228,000,000","2,504,730,000","186,000,000","19,000,000","167,000,000","3,389,000,000",,"6,063,000,000","1,030,000,000","2,554,000,000","65,000,000","65,000,000","4,354,000,000",0.242,"15,730,000"
03/31/2013,"13,969,000,000","12,920,000,000","5,944,000,000","8,025,000,000","4,548,000,000","2,711,000,000","1,125,000,000",,"1,125,000,000","1,586,000,000","1,837,000,000",,"3,477,000,000","162,000,000","183,000,000","21,000,000","-134,000,000","-28,000,000","-10,000,000",,,,,"-18,000,000","3,611,000,000","287,000,000","3,346,000,000","3,346,000,000","3,346,000,000","3,324,000,000","22,000,000",,,"3,346,000,000",0.507,0.497,"6,609,077,356","6,733,257,306","3,477,000,000","10,492,000,000","3,346,000,000","3,333,210,000","183,000,000","21,000,000","162,000,000","3,632,000,000",,"5,944,000,000","899,000,000","3,324,000,000","-10,000,000","-10,000,000","4,541,000,000",0.079,"-790,000"
12/31/2012,"13,215,000,000","10,862,000,000","5,278,000,000","7,937,000,000","4,505,000,000","2,747,000,000","1,066,000,000",,"1,066,000,000","1,681,000,000","1,758,000,000",,"3,432,000,000","158,000,000","179,000,000","21,000,000","-152,000,000","-5,000,000","-21,000,000",,"-42,000,000",,0,"152,000,000","3,585,000,000","648,000,000","2,886,000,000","2,886,000,000","2,886,000,000","2,937,000,000","-21,000,000",,,"2,886,000,000",0.439,0.431,"6,587,257,365","6,699,537,320","3,432,000,000","9,783,000,000","2,886,000,000","2,988,612,552.301","179,000,000","21,000,000","158,000,000","3,606,000,000",,"5,278,000,000","953,000,000","2,937,000,000","-63,000,000","-63,000,000","4,622,000,000",0.181,"-11,387,447.699"
09/30/2012,"14,101,000,000","14,101,000,000","6,554,000,000","7,547,000,000","4,811,000,000","2,802,000,000","1,042,000,000",,"1,042,000,000","1,760,000,000","2,009,000,000",,"2,736,000,000","151,000,000","172,000,000","21,000,000",,"-88,000,000","-111,000,000",,"23,000,000","-23,000,000",0,,"2,799,000,000","623,000,000","2,176,000,000","2,176,000,000","2,176,000,000","2,176,000,000",,,,"2,176,000,000",0.332,0.327,"6,555,697,377","6,666,277,333","2,736,000,000","11,365,000,000","2,176,000,000","2,244,413,004.645","172,000,000","21,000,000","151,000,000","2,820,000,000",,"6,554,000,000","828,000,000","2,176,000,000","-88,000,000","-88,000,000","3,736,000,000",0.223,"-19,586,995.355"
06/30/2012,"12,214,000,000","12,214,000,000","5,013,000,000","7,201,000,000","3,998,000,000","2,413,000,000","980,000,000",,"980,000,000","1,433,000,000","1,585,000,000",,"3,203,000,000","158,000,000","180,000,000","22,000,000",,"96,000,000","-94,000,000",,"190,000,000","-2,000,000","188,000,000",,"3,457,000,000","672,000,000","2,785,000,000","2,785,000,000","2,785,000,000","2,785,000,000",,,,"2,785,000,000",0.427,0.421,"6,525,437,389","6,615,857,353","3,203,000,000","9,011,000,000","2,785,000,000","2,707,661,266.995","180,000,000","22,000,000","158,000,000","3,479,000,000",,"5,013,000,000","670,000,000","2,785,000,000","96,000,000","96,000,000","4,053,000,000",0.194,"18,661,266.995"
03/31/2012,"10,645,000,000","10,645,000,000","3,789,000,000","6,856,000,000","3,467,000,000","2,026,000,000","757,000,000",,"757,000,000","1,269,000,000","1,441,000,000",,"3,389,000,000","162,000,000","182,000,000","20,000,000",,"-6,000,000","-23,000,000",,"17,000,000",,,,"3,545,000,000","655,000,000","2,890,000,000","2,890,000,000","2,890,000,000","2,890,000,000",,,,"2,890,000,000",0.444,0.438,"6,505,977,397","6,602,717,358","3,389,000,000","7,256,000,000","2,890,000,000","2,894,891,396.333","182,000,000","20,000,000","162,000,000","3,565,000,000",,"3,789,000,000","511,000,000","2,890,000,000","-6,000,000","-6,000,000","4,082,000,000",0.185,"-1,108,603.667"
12/31/2011,"10,583,000,000","10,583,000,000","3,703,000,000","6,880,000,000","3,373,000,000","2,572,000,000","1,305,000,000",,"1,305,000,000","1,267,000,000","1,301,000,000",,"3,507,000,000","179,000,000","199,000,000","20,000,000",,"-197,000,000","-112,000,000",,"-85,000,000",,,,"3,489,000,000","785,000,000","2,704,000,000","2,704,000,000","2,704,000,000","2,704,000,000",,,,"2,704,000,000",,,,,"3,507,000,000","7,076,000,000","2,704,000,000","2,856,676,411.579","199,000,000","20,000,000","179,000,000","3,509,000,000",,"3,703,000,000","503,000,000","2,704,000,000","-197,000,000","-197,000,000","4,209,000,000",0.225,"-44,323,588.421"
09/30/2011,"9,720,000,000","9,720,000,000","3,378,000,000","6,342,000,000","3,284,000,000","1,880,000,000","676,000,000","499,000,000","676,000,000","1,204,000,000","1,404,000,000",,"3,058,000,000","190,000,000","211,000,000","21,000,000",,"112,000,000","85,000,000",,"27,000,000",,,,"3,360,000,000","631,000,000","2,729,000,000","2,729,000,000","2,729,000,000","2,729,000,000",,,,"2,729,000,000",0.422,0.417,"6,463,097,414","6,548,777,380","3,058,000,000","6,662,000,000","2,729,000,000","2,638,033,333.333","211,000,000","21,000,000","190,000,000","3,381,000,000",,"3,378,000,000","492,000,000","2,729,000,000","112,000,000","112,000,000","3,761,000,000",0.188,"21,033,333.333"
06/30/2011,"9,026,000,000","9,026,000,000","3,172,000,000","5,854,000,000","2,973,000,000","1,739,000,000","648,000,000",,"648,000,000","1,091,000,000","1,234,000,000",,"2,881,000,000","212,000,000","212,000,000",,,"-8,000,000","75,000,000",,"-83,000,000",,,,"3,085,000,000","580,000,000","2,505,000,000","2,505,000,000","2,505,000,000","2,505,000,000",,,,"2,505,000,000",0.389,0.384,"6,444,557,422","6,520,717,391","2,881,000,000","6,145,000,000","2,505,000,000","2,511,495,948.136","212,000,000",,"212,000,000","2,881,000,000",,"3,172,000,000","455,000,000","2,505,000,000","-8,000,000","-8,000,000","3,344,000,000",0.188,"-1,504,051.864"
03/31/2011,"8,575,000,000","8,575,000,000","2,936,000,000","5,639,000,000","3,343,000,000","1,617,000,000","591,000,000",,"591,000,000","1,026,000,000","1,226,000,000","500,000,000","2,296,000,000","190,000,000","190,000,000",,,"-94,000,000","27,000,000",,"-121,000,000",,,,"2,392,000,000","594,000,000","1,798,000,000","1,798,000,000","1,798,000,000","1,798,000,000",,,,"1,798,000,000",0.28,0.276,"6,430,537,427","6,527,657,388","2,296,000,000","6,279,000,000","1,798,000,000","1,868,657,190.635","190,000,000",,"190,000,000","2,296,000,000",,"2,936,000,000","401,000,000","1,798,000,000","-94,000,000","-94,000,000","2,791,000,000",0.248,"-23,342,809.365"
12/31/2010,"8,440,000,000","8,440,000,000","2,946,000,000","5,494,000,000","2,512,000,000","1,461,000,000","559,000,000",,"559,000,000","902,000,000","1,051,000,000",,"2,982,000,000","176,000,000","176,000,000",,,"-16,000,000","-300,000,000",,"284,000,000",,,,"3,142,000,000","599,000,000","2,543,000,000","2,543,000,000","2,543,000,000","2,543,000,000",,,,"2,543,000,000",0.398,0.391,"6,398,917,440","6,510,717,395","2,982,000,000","5,458,000,000","2,543,000,000","2,555,949,713.558","176,000,000",,"176,000,000","2,982,000,000",,"2,946,000,000","381,000,000","2,543,000,000","-16,000,000","-16,000,000","3,379,000,000",0.191,"-3,050,286.442"
09/30/2010,"7,286,000,000","7,286,000,000","2,552,000,000","4,734,000,000","2,187,000,000","1,193,000,000","532,000,000",,"532,000,000","661,000,000","994,000,000",,"2,547,000,000","172,000,000","172,000,000",,,"-5,000,000","62,000,000",,"-67,000,000",,,,"2,714,000,000","547,000,000","2,167,000,000","2,167,000,000","2,167,000,000","2,167,000,000",,,,"2,167,000,000",0.34,0.336,"6,372,337,451","6,447,537,420","2,547,000,000","4,739,000,000","2,167,000,000","2,170,992,262.343","172,000,000",,"172,000,000","2,547,000,000",,"2,552,000,000","342,000,000","2,167,000,000","-5,000,000","-5,000,000","2,894,000,000",0.202,"-1,007,737.657"
06/30/2010,"6,820,000,000","6,820,000,000","2,467,000,000","4,353,000,000","1,988,000,000","1,090,000,000","461,000,000",,"461,000,000","629,000,000","898,000,000",,"2,365,000,000","136,000,000","136,000,000",,,"-67,000,000","-63,000,000",,"-4,000,000",,,,"2,434,000,000","594,000,000","1,840,000,000","1,840,000,000","1,840,000,000","1,840,000,000",,,,"1,840,000,000",0.289,0.286,"6,366,997,453","6,449,717,420","2,365,000,000","4,455,000,000","1,840,000,000","1,890,649,137.223","136,000,000",,"136,000,000","2,365,000,000",,"2,467,000,000","342,000,000","1,840,000,000","-67,000,000","-67,000,000","2,774,000,000",0.244,"-16,350,862.777"
03/31/2010,"6,775,000,000","6,775,000,000","2,452,000,000","4,323,000,000","1,835,000,000","1,017,000,000","410,000,000",,"410,000,000","607,000,000","818,000,000",,"2,488,000,000","95,000,000","95,000,000",,,"-77,000,000","-80,000,000",,"3,000,000",,,,"2,506,000,000","551,000,000","1,955,000,000","1,955,000,000","1,955,000,000","1,955,000,000",,,,"1,955,000,000",0.308,0.303,"6,357,897,456","6,452,157,419","2,488,000,000","4,287,000,000","1,955,000,000","2,015,069,832.402","95,000,000",,"95,000,000","2,488,000,000",,"2,452,000,000","331,000,000","1,955,000,000","-77,000,000","-77,000,000","2,896,000,000",0.22,"-16,930,167.598"
12/31/2009,"6,673,825,000","6,673,825,000","2,408,400,000","4,265,425,000","1,784,442,000","1,048,208,000","465,059,000",,"465,059,000","583,149,000","736,234,000",,"2,480,983,000","66,862,000","66,862,000",,,"20,826,000","15,945,000",,"4,881,000",,,,"2,568,671,000","594,571,000","1,974,100,000","1,974,100,000","1,974,100,000","1,974,100,000",,,,"1,974,100,000",,,,,"2,480,983,000","4,192,842,000","1,974,100,000","1,958,094,600.087","66,862,000",,"66,862,000","2,480,983,000",,"2,408,400,000","365,506,000","1,974,100,000","20,826,000","20,826,000","2,825,663,000",0.231,"4,820,600.087"
09/30/2009,"5,944,851,000","5,944,851,000","2,226,240,000","3,718,611,000","1,644,893,000","887,369,000","389,557,000",,"389,557,000","497,812,000","757,524,000",,"2,073,718,000","46,702,000","46,702,000",,,"-53,879,000","-54,510,000",,"631,000",,,,"2,066,541,000","427,566,000","1,638,975,000","1,638,975,000","1,638,975,000","1,638,975,000",,,,"1,638,975,000",0.259,0.257,"6,329,937,468","6,394,917,442","2,073,718,000","3,871,133,000","1,638,975,000","1,681,706,469.651","46,702,000",,"46,702,000","2,073,718,000",,"2,226,240,000","378,623,000","1,638,975,000","-53,879,000","-53,879,000","2,506,220,000",0.207,"-11,147,530.349"
06/30/2009,"5,522,897,000","5,522,897,000","2,107,971,000","3,414,926,000","1,541,032,000","833,406,000","364,367,000",,"364,367,000","469,039,000","707,626,000",,"1,873,894,000","50,017,000","50,017,000",,,"-26,767,000","-24,351,000",,"-2,416,000",,,,"1,856,176,000","371,631,000","1,484,545,000","1,484,545,000","1,484,545,000","1,484,545,000",,,,"1,484,545,000",0.235,0.233,"6,318,017,472","6,370,717,451","1,873,894,000","3,649,003,000","1,484,545,000","1,505,952,892.363","50,017,000",,"50,017,000","1,873,894,000",,"2,107,971,000","376,957,000","1,484,545,000","-26,767,000","-26,767,000","2,277,618,000",0.2,"-5,359,107.637"
03/31/2009,"5,508,990,000","5,508,990,000","2,101,504,000","3,407,486,000","1,523,895,000","882,252,000","448,311,000",,"448,311,000","433,941,000","641,643,000",,"1,883,591,000","66,092,000","66,092,000",,,"-59,882,000","-59,156,000",,"-726,000",,,,"1,889,801,000","466,973,000","1,422,828,000","1,422,828,000","1,422,828,000","1,422,828,000",,,,"1,422,828,000",0.226,0.225,"6,305,037,477","6,344,417,462","1,883,591,000","3,625,399,000","1,422,828,000","1,467,913,057.261","66,092,000",,"66,092,000","1,883,591,000",,"2,101,504,000","403,222,000","1,422,828,000","-59,882,000","-59,882,000","2,346,695,000",0.247,"-14,796,942.739"
12/31/2008,"5,700,904,000","5,700,904,000","2,190,005,000","3,510,899,000","1,650,694,000","917,353,000","411,361,000",,"411,361,000","505,992,000","733,341,000",,"1,860,205,000","88,447,000","88,447,000",,,"-1,113,305,000","-19,957,000",,"-1,093,348,000",,,,"835,347,000","452,905,000","382,442,000","382,442,000","382,442,000","382,442,000",,,,"382,442,000",,,,,"1,860,205,000","3,840,699,000","382,442,000","1,106,090,250","88,447,000",,"88,447,000","1,860,205,000",,"2,190,005,000","385,510,000","382,442,000","-1,113,305,000","-1,113,305,000","3,359,020,000",0.35,"-389,656,750"
09/30/2008,"5,541,391,000","5,541,391,000","2,173,390,000","3,368,001,000","1,720,436,000","1,015,865,000","507,064,000",,"507,064,000","508,801,000","704,571,000",,"1,647,565,000","90,996,000","90,996,000",,,"-69,779,000","-70,531,000",,"752,000",,,,"1,668,782,000","378,844,000","1,289,938,000","1,289,938,000","1,289,938,000","1,289,938,000",,,,"1,289,938,000",0.205,0.203,"6,284,817,486","6,355,517,457","1,647,565,000","3,893,826,000","1,289,938,000","1,343,875,892.248","90,996,000",,"90,996,000","1,647,565,000",,"2,173,390,000","386,246,000","1,289,938,000","-69,779,000","-69,779,000","2,103,590,000",0.227,"-15,841,107.752"
06/30/2008,"5,367,212,000","5,367,212,000","2,147,575,000","3,219,637,000","1,641,672,000","959,462,000","474,910,000",,"474,910,000","484,552,000","682,210,000",,"1,577,965,000","88,086,000","88,086,000",,,"-30,163,000","-35,481,000",,"5,318,000",,,,"1,635,888,000","388,497,000","1,247,391,000","1,247,391,000","1,247,391,000","1,247,391,000",,,,"1,247,391,000",0.199,0.196,"6,276,337,489","6,360,457,455","1,577,965,000","3,789,247,000","1,247,391,000","1,270,390,774.271","88,086,000",,"88,086,000","1,577,965,000",,"2,147,575,000","391,607,000","1,247,391,000","-30,163,000","-30,163,000","1,999,735,000",0.237,"-7,163,225.729"
03/31/2008,"5,186,043,000","5,186,043,000","2,110,536,000","3,075,507,000","1,529,272,000","856,203,000","409,305,000",,"409,305,000","446,898,000","673,069,000",,"1,546,235,000","121,616,000","122,003,000","387,000",,"45,727,000","46,571,000",,"-844,000","844,000",,,"1,713,578,000","406,492,000","1,307,086,000","1,307,086,000","1,307,086,000","1,307,086,000",,,,"1,307,086,000",0.209,0.206,"6,262,577,494","6,347,837,460","1,546,235,000","3,639,808,000","1,307,086,000","1,272,206,279.601","122,003,000","387,000","121,616,000","1,713,965,000",,"2,110,536,000","336,524,000","1,307,086,000","45,727,000","45,727,000","2,004,762,000",0.237,"10,847,279.601"
12/31/2007,"4,826,679,000","4,826,679,000","1,955,824,000","2,870,855,000","1,430,121,000","799,338,000","377,048,000",,"377,048,000","422,290,000","630,783,000",,"1,440,734,000","144,460,000","144,631,000","171,000",,"22,833,000",,,"22,833,000",,,,"1,608,027,000","401,578,000","1,206,449,000","1,206,449,000","1,206,449,000","1,206,449,000",,,,"1,206,449,000",,,,,"1,440,734,000","3,385,945,000","1,206,449,000","1,189,318,162.012","144,631,000","171,000","144,460,000","1,608,198,000",,"1,955,824,000","289,936,000","1,206,449,000","22,833,000","22,833,000","1,875,301,000",0.25,"5,702,162.012"
09/30/2007,"4,231,351,000","4,231,351,000","1,662,579,000","2,568,772,000","1,250,930,000","702,218,000","321,398,000",,"321,398,000","380,820,000","548,712,000",,"1,317,842,000","145,668,000","146,114,000","446,000",,"8,760,000",,,"8,760,000",,,,"1,472,270,000","402,281,000","1,069,989,000","1,069,989,000","1,069,989,000","1,069,989,000",,,,"1,069,989,000",0.172,0.169,"6,224,417,510","6,331,517,467","1,317,842,000","2,913,509,000","1,069,989,000","1,063,622,570.174","146,114,000","446,000","145,668,000","1,472,716,000",,"1,662,579,000","249,375,000","1,069,989,000","8,760,000","8,760,000","1,713,331,000",0.273,"2,393,570.174"
06/30/2007,"3,871,985,000","3,871,985,000","1,560,255,000","2,311,730,000","1,207,115,000","675,009,000","319,405,000",,"319,405,000","355,604,000","532,106,000",,"1,104,615,000","137,740,000","137,984,000","244,000",,"-610,000",,,"-610,000",,,,"1,241,745,000","316,625,000","925,120,000","925,120,000","925,120,000","925,120,000",,,,"925,120,000",0.149,0.147,"6,208,717,516","6,309,377,476","1,104,615,000","2,767,370,000","925,120,000","925,574,459.813","137,984,000","244,000","137,740,000","1,241,989,000",,"1,560,255,000","223,355,000","925,120,000","-610,000","-610,000","1,465,954,000",0.255,"-155,540.187"
03/31/2007,"3,663,971,000","3,663,971,000","1,470,426,000","2,193,545,000","972,336,000","563,952,000","261,400,000",,"261,400,000","302,552,000","408,384,000",,"1,221,209,000","130,133,000","130,475,000","342,000",,"595,000",,,"595,000",,,,"1,351,937,000","349,775,000","1,002,162,000","1,002,162,000","1,002,162,000","1,002,162,000",,,,"1,002,162,000",0.162,0.159,"6,186,297,525","6,297,397,481","1,221,209,000","2,442,762,000","1,002,162,000","1,001,720,939.218","130,475,000","342,000","130,133,000","1,352,279,000",,"1,470,426,000","204,992,000","1,002,162,000","595,000","595,000","1,556,676,000",0.259,"153,939.218"
12/31/2006,"3,205,498,000","3,205,498,000","1,283,148,000","1,922,350,000","861,756,000","474,950,000",,,,,"386,806,000",,"1,060,594,000",,,,,"2,469,000",,,"2,469,000",,,,"1,184,734,000","154,017,000","1,030,717,000","1,030,717,000","1,030,717,000","1,030,717,000",,,,"1,030,717,000",,,,,"1,060,594,000","2,144,904,000","1,030,717,000","1,028,568,973.293",,,,"723,484,000",,"1,283,148,000","189,250,000","1,030,717,000","2,469,000","2,469,000","910,265,000",0.13,"320,973.293"
09/30/2006,"2,689,673,000","2,689,673,000","1,048,728,000","1,640,945,000","709,614,000","396,982,000","190,010,000",,"190,010,000","206,972,000","312,632,000",,"931,331,000","108,209,000","108,230,000","21,000",,"-29,000",,,"-29,000",,,,"1,039,511,000","306,150,000","733,361,000","733,361,000","733,361,000","733,361,000",,,,"733,361,000",0.121,0.118,"6,067,997,572","6,211,477,515","931,331,000","1,758,342,000","733,361,000","733,381,459.109","108,230,000","21,000","108,209,000","1,039,532,000",,"1,048,728,000","145,310,000","733,361,000","-29,000","-29,000","1,184,871,000",0.295,"-8,540.891"
06/30/2006,"2,455,991,000","2,455,991,000","989,032,000","1,466,959,000","651,587,000","369,035,000",,,,,"282,552,000",,"815,372,000",,,,,"57,795,000",,,"57,795,000",,,,"976,177,000","255,100,000","721,077,000","721,077,000","721,077,000","721,077,000",,,,"721,077,000",0.12,0.117,"6,028,197,588","6,200,757,519","815,372,000","1,640,619,000","721,077,000","678,385,310.67",,,,"815,372,000",,"989,032,000","126,221,000","721,077,000","57,795,000","57,795,000","883,798,000",0.261,"15,103,310.67"
03/31/2006,"2,253,755,000","2,253,755,000","904,119,000","1,349,636,000","606,937,000","360,338,000",,,,,"246,599,000",,"742,699,000",,,,,,,,,,,,"810,618,000","218,327,000","592,291,000","592,291,000","592,291,000","592,291,000",,,,"592,291,000",0.101,0.098,"5,877,917,648","6,082,457,567","742,699,000","1,511,056,000","592,291,000","592,291,000",,,,"742,699,000",,"904,119,000","111,158,000","592,291,000",,,"853,857,000",0.269,0
12/31/2005,"1,919,092,000","1,919,092,000","775,381,000","1,143,711,000","574,072,000","327,000,000",,,,,"157,072,000",,"569,639,000",,,,,,,,,,,,"639,833,000","267,625,000","372,208,000","372,208,000","372,208,000","372,208,000",,,,"372,208,000",,,,,"569,639,000","1,349,453,000","372,208,000","372,208,000",,,,"569,639,000",,"775,381,000","94,725,000","372,208,000",,,"664,364,000",0.4,0
09/30/2005,"1,578,456,000","1,578,456,000","653,826,000","924,630,000","395,459,000","243,738,000",,,,,"151,721,000",,"529,171,000",,,,,,,,,,,,"549,968,000","168,786,000","381,182,000","381,182,000","381,182,000","381,182,000",,,,"381,182,000",0.07,0.066,"5,502,597,798","5,793,457,682","529,171,000","1,049,285,000","381,182,000","381,182,000",,,,"529,171,000",,"653,826,000","75,965,000","381,182,000",,,"605,136,000",0.307,0
06/30/2005,"1,384,495,000","1,384,495,000","597,095,000","787,400,000","311,702,000","215,930,000",,,,,"95,772,000",,"475,698,000",,,,,,,,,,,,"495,420,000","152,606,000","342,814,000","342,814,000","342,814,000","342,814,000",,,,"342,814,000",0.064,0.06,"5,414,577,834","5,744,757,702","475,698,000","908,797,000","342,814,000","342,814,000",,,,"475,698,000",,"597,095,000","66,929,000","342,814,000",,,"542,627,000",0.308,0
03/31/2005,"1,256,516,000","1,256,516,000","545,208,000","711,308,000","268,538,000","189,126,000",,,,,"79,412,000",,"442,770,000",,,,,,,,,,,,"456,456,000","87,263,000","369,193,000","369,193,000","369,193,000","369,193,000",,,,"369,193,000",0.07,0.065,"5,322,117,871","5,732,237,707","442,770,000","813,746,000","369,193,000","369,193,000",,,,"442,770,000",,"545,208,000","56,193,000","369,193,000",,,"498,963,000",0.191,0
12/31/2004,"1,031,501,000","1,031,501,000","453,779,000","577,722,000","274,923,000","187,481,000",,,,,"87,442,000",0,"302,799,000",,,,,0,,,0,,,,"310,173,000","106,073,000","204,100,000","204,100,000","204,100,000","204,100,000",,,,"204,100,000",,,,,"302,799,000","728,702,000","204,100,000","204,100,000",,,,"302,799,000",,"453,779,000","52,460,000","204,100,000",0,0,"355,259,000",0.342,0
09/30/2004,"805,887,000","805,887,000","362,099,000","443,788,000","432,676,000","174,267,000",,,,,"57,409,000","201,000,000","11,112,000",,,,,"-201,000,000",,,"-201,000,000",,,,"14,978,000","-37,005,000","51,983,000","51,983,000","51,983,000","51,983,000",,,,"51,983,000",0.013,0.01,"4,100,138,359","5,494,697,802","11,112,000","794,775,000","51,983,000","172,583,000",,,,"11,112,000",,"362,099,000","41,326,000","51,983,000","-201,000,000","-201,000,000","253,438,000",0.4,"-80,400,000"
06/30/2004,"700,212,000","700,212,000","326,377,000","373,835,000","-155,419,000","157,115,000",,,,,"45,762,000","-358,296,000","529,254,000",,,,,,,,,,,,"169,460,000","90,397,000","79,063,000","79,063,000","79,063,000","79,063,000",,,,"79,063,000",0.026,0.015,"3,108,818,756","5,325,257,869","529,254,000","170,958,000","79,063,000","79,063,000",,,,"529,254,000",,"326,377,000",,"79,063,000",,,"529,254,000",0.4,0
03/31/2004,"651,623,000","651,623,000","315,398,000","336,225,000","35,019,000",,,,,,"35,019,000",,"301,206,000",,,,,,,,,,,,"155,623,000","91,650,000","63,973,000","63,973,000","63,973,000","63,973,000",,,,"63,973,000",0.021,0.012,"3,046,332,115","5,331,081,201","155,323,000","350,417,000","63,973,000","63,973,000",,,,"301,206,000",,"315,398,000",,"63,973,000",,,"301,206,000",0.4,0
06/30/2003,"311,199,000","311,199,000","117,401,000","193,798,000","17,492,000",,,,,,"17,492,000",,"176,306,000",,,,,,,,,,,,"105,550,000","73,382,000","32,168,000","32,168,000","32,168,000","32,168,000",,,,"32,168,000",0.012,0.006,"2,714,198,914","5,147,217,941","104,784,000","134,893,000","32,168,000","32,168,000",,,,"176,306,000",,"117,401,000",,"32,168,000",,,"176,306,000",0.4,0